epoch,acc,loss,val_acc,val_loss
0,"0.51100105851809,",0.956646669,"0.532234487646415,",0.9270112927
1,"0.545138363828822,",0.927802084,"0.568072987570807,",0.9129407246
2,"0.562225918645093,",0.9164768895,"0.566712031877475,",0.9028742242
3,"0.57412167951563,",0.9080440236,"0.598316447374543,",0.8952067931
4,"0.58775643933666,",0.9005841683,"0.600131054965651,",0.8878898063
5,"0.597031100351872,",0.8934714814,"0.603004183699644,",0.8806615463
6,"0.604503755220585,",0.8874238083,"0.608548817957738,",0.8760464644
7,"0.610678461606996,",0.8814711929,"0.618327536691226,",0.8686160504
8,"0.615580422409336,",0.876502535,"0.616210494501599,",0.8665713765
9,"0.619650688034205,",0.8715626961,"0.620091738467844,",0.8606530377
10,"0.624401431526771,",0.8670237921,"0.625384343989981,",0.8572653688
11,"0.625044105042613,",0.8635557506,"0.630273703284619,",0.8515110181
12,"0.629051363469973,",0.8601079697,"0.630324109096105,",0.847702713
13,"0.629706638442442,",0.8568777673,"0.626190836204625,",0.84814022
14,"0.631559050352356,",0.853590158,"0.630878572481655,",0.8455204715
15,"0.631206209985916,",0.8510367767,"0.630928978248075,",0.8445082678
16,"0.634079338676345,",0.8482401634,"0.631836282088695,",0.8371856282
17,"0.635125258332557,",0.8454791736,"0.635415091504493,",0.8349148027
18,"0.63580573617021,",0.8433105918,"0.632390745474246,",0.8343952541
19,"0.635326881392227,",0.8417121589,"0.636019960701529,",0.8297980907
20,"0.63700287313169,",0.8394742715,"0.63899390092029,",0.8282245724
21,"0.637569938006916,",0.8371766274,"0.638137002891155,",0.8283522288
22,"0.639812994615596,",0.8355722224,"0.640657291212139,",0.8236599863
23,"0.640443066695842,",0.8338267792,"0.639145118219549,",0.8221024377
24,"0.63973738594794,",0.8319636715,"0.642673521868926,",0.8211299395
25,"0.64185442814658,",0.8301427347,"0.640657291212139,",0.8204712299
26,"0.642106456981683,",0.8289441176,"0.632945208904862,",0.8262998415
27,"0.642900347805797,",0.8279027554,"0.6405564796793,",0.8176828551
28,"0.642660920418308,",0.8267986572,"0.642975956467444,",0.8174860142
29,"0.6439714703317,",0.8243789002,"0.641967841139051,",0.823514692
30,"0.643643832854479,",0.8234487475,"0.641766218025301,",0.8168165279
31,"0.645622259189455,",0.8223922452,"0.645748273620527,",0.8154517561
32,"0.645634860628056,",0.8205653611,"0.640959725765591,",0.8119441037
33,"0.645357628915752,",0.8200084986,"0.641766218073372,",0.8100354832
34,"0.645987700989989,",0.818791306,"0.645597056276201,",0.8084428023
35,"0.646340541354927,",0.8172315283,"0.641110943061846,",0.8154233835
36,"0.647021019207601,",0.8159670282,"0.64045566814646,",0.8104039618
37,"0.647172236500852,",0.8150809851,"0.648167750408671,",0.8073731711
38,"0.6480543374162,",0.8141125053,"0.648974242671386,",0.8061372546
39,"0.647966127318957,",0.8132681145,"0.648470184959119,",0.8024498943
40,"0.64923887291805,",0.8119790967,"0.639800393186009,",0.8087668784
41,"0.650095770956197,",0.8111476574,"0.643429608365221,",0.8027402413
42,"0.649730329143646,",0.8099706739,"0.65144412522595,",0.8040857356
43,"0.650284792583276,",0.808958403,"0.639447552818067,",0.8037163539
44,"0.650095770965211,",0.8080986396,"0.651494530947304,",0.7992478894
45,"0.650940067537718,",0.8072033989,"0.644740158292133,",0.799543835
46,"0.652162407388417,",0.8061900941,"0.656887947999276,",0.8013617253
47,"0.651822168465085,",0.8052632861,"0.640606885445719,",0.8010591823
48,"0.652011190080145,",0.8047327848,"0.645143404378424,",0.7965264545
49,"0.652515247750351,",0.8035064048,"0.65214980591076,",0.7967221301
50,"0.652061595849569,",0.8034135221,"0.646000302452625,",0.7967057185
51,"0.653724986138414,",0.8017112483,"0.650990473328173,",0.7948651352
52,"0.652855486658662,",0.8014684287,"0.654922123063842,",0.7920546042
53,"0.653964413525903,",0.8005722352,"0.647714098510894,",0.797965417
54,"0.652956298194505,",0.7994904208,"0.656283078757173,",0.7925649487
55,"0.655451383647301,",0.7989937011,"0.65467009427681,",0.7969409278
56,"0.655211956253804,",0.7984958226,"0.659861888218037,",0.7911333771
57,"0.65463228992796,",0.7974311611,"0.644992187079165,",0.7994681722
58,"0.655514390855326,",0.7969674734,"0.656232672990754,",0.7888384708
59,"0.655350572114462,",0.7961860209,"0.65461968851039,",0.7896030965
60,"0.655476586527507,",0.7955659466,"0.653813196247675,",0.7863989894
61,"0.657076969599314,",0.7949545359,"0.64988154641887,",0.7963579731
62,"0.656736730672977,",0.7943673579,"0.657039165253468,",0.7852247604
63,"0.657190382579767,",0.7933802178,"0.649730329122615,",0.7861958021
64,"0.656812339325611,",0.7927422756,"0.653561167415577,",0.7848724051
65,"0.657858258978819,",0.7925645632,"0.65920661320651,",0.7864469718
66,"0.658601744030505,",0.7913337957,"0.651746559779402,",0.7861625546
67,"0.658097686366308,",0.790361131,"0.662735016903958,",0.7857363279
68,"0.659446040627048,",0.7897560012,"0.652653863574956,",0.7822147618
69,"0.659219214687172,",0.7887692042,"0.652250617443599,",0.7816202753
70,"0.659168808908735,",0.7884816318,"0.660214728582974,",0.7893889361
71,"0.659420837737829,",0.7881009057,"0.658450526755281,",0.7805725306
72,"0.659597257926307,",0.7873001434,"0.657240788364213,",0.7833878023
73,"0.65959725793532,",0.7864363212,"0.657795251749764,",0.7836295631
74,"0.66003830837647,",0.7859840482,"0.654619688465324,",0.7782440331
75,"0.66099601793544,",0.7846264069,"0.655123746174587,",0.7769084448
76,"0.660542366046676,",0.7842298941,"0.655123746174587,",0.7777162341
77,"0.661185039571531,",0.7843083784,"0.658954584425487,",0.7781581328
78,"0.661021220830667,",0.7831636159,"0.66026513434639,",0.7747637109
79,"0.661285851107375,",0.7826237755,"0.66399516101638,",0.7763073264
80,"0.662886234188195,",0.7818151137,"0.664751247560745,",0.775933599
