mode,reward,step,vel,action
monkey,-8.251,1,0,1
monkey,-15.427,1,0,1
monkey,-12.097,1,0,1
monkey,-54.76,1,0,1
monkey,-29.78,1,0,1
monkey,-25.682,1,0,1
monkey,-4.118,1,0,1
monkey,-1.601,1,0,1
monkey,-35.707,1,0,1
monkey,-13.541,1,0,1
monkey,-10.723,1,0,1
monkey,-2.738,1,0,1
monkey,-14.804,1,0,1
monkey,-6.583,1,0,1
monkey,-50.546,1,0,1
monkey,-16.374,1,0,1
monkey,0,1,0,1
monkey,-69.404,1,0,1
monkey,-43.688,1,0,1
monkey,-43.834,1,0,1
monkey,-12.366,1,0,1
monkey,-48.429,1,0,1
monkey,-9.576,1,0,1
monkey,-25.83,1,0,1
monkey,-86.658,1,0,1
monkey,-76.662,1,0,1
monkey,-0.439,1,0,1
monkey,-0.453,1,0,1
monkey,-1.419,1,0,1
monkey,-5.838,1,0,1
monkey,-35.195,1,0,1
monkey,-15.246,1,0,1
monkey,-1.078,1,0,1
monkey,-0.076,1,0,1
monkey,-34.86,1,0,1
monkey,-5.351,1,0,1
monkey,-5.304,1,0,1
monkey,-44.174,1,0,1
monkey,-35.885,1,0,1
monkey,-3.661,1,0,1
monkey,-43.743,1,0,1
monkey,-27.737,1,0,1
monkey,-2.926,1,0,1
monkey,-16.301,1,0,1
monkey,-9.748,1,0,1
monkey,-45.991,1,0,1
monkey,-39.049,1,0,1
monkey,-67.864,1,0,1
monkey,-3.594,1,0,1
monkey,-0.545,1,0,1
monkey,-4.552,1,0,1
monkey,-0.419,1,0,1
monkey,-127.398,1,0,1
monkey,-17.758,1,0,1
monkey,-36.867,1,0,1
monkey,-17.517,1,0,1
monkey,-17.109,1,0,1
monkey,-66.129,1,0,1
monkey,-1.267,1,0,1
monkey,-0.411,1,0,1
monkey,-1.858,1,0,1
monkey,-44.672,1,0,1
monkey,-25.101,1,0,1
monkey,-9.391,1,0,1
monkey,-15.587,1,0,1
monkey,-2.653,1,0,1
monkey,-26.804,1,0,1
monkey,-11.411,1,0,1
monkey,-0.443,1,0,1
monkey,-14.498,1,0,1
monkey,-5.068,1,0,1
monkey,-16.301,1,0,1
monkey,-7.281,1,0,1
monkey,-60.458,1,0,1
monkey,-62.324,1,0,1
monkey,-19.719,1,0,1
monkey,-6.424,1,0,1
monkey,-0.438,1,0,1
monkey,-5.685,1,0,1
monkey,-0.89,1,0,1
monkey,-30.197,1,0,1
monkey,-35.209,1,0,1
monkey,-0.578,1,0,1
monkey,-5.117,1,0,1
monkey,-47.434,1,0,1
monkey,-68.081,1,0,1
monkey,-2.779,1,0,1
monkey,-14.534,1,0,1
monkey,-4.787,1,0,1
monkey,-2.204,1,0,1
monkey,-51.687,1,0,1
monkey,-28.246,1,0,1
monkey,-4.414,1,0,1
monkey,-19.117,1,0,1
monkey,-22.459,1,0,1
monkey,-47.629,1,0,1
monkey,-4.075,1,0,1
monkey,-142.717,1,0,1
monkey,-12.423,1,0,1
monkey,-48.778,1,0,1
monkey,-56.068,1,0,1
monkey,-8.382,1,0,1
monkey,-11.149,1,0,1
monkey,-2.457,1,0,1
monkey,-2.911,1,0,1
monkey,-0.119,1,0,1
monkey,-1.077,1,0,1
monkey,-70.822,1,0,1
monkey,-14.84,1,0,1
monkey,-20.862,1,0,1
monkey,-2.235,1,0,1
monkey,-10.778,1,0,1
monkey,-0.302,1,0,1
monkey,-0.366,1,0,1
