episode,episode steps,episode reward,loss,mse,mean_q,test episode,test reward,test steps,test steps(s)
1,37,-94.236,0.51863,2.116555,0.14336,1,-28.492,302,201
2,68,-95.737,72.664886,49.805168,-0.627558,2,227.683,1002,201
3,65,-95.865,82.481895,56.017975,-0.902928,3,261.574,1002,201
4,30,-98.045,66.822029,45.623512,-0.908692,4,31.254,548,201
5,89,-87.657,75.283325,51.697803,-0.476889,5,225.125,1002,201
6,81,-91.794,65.888245,45.675819,-0.192847,6,98.217,839,114
7,82,-89.989,63.609947,44.277493,-0.283995,7,237.781,1002,179
8,97,-89.662,66.358162,46.424992,-0.408712,8,236.553,1002,126
9,126,-65.623,62.89019,44.730469,-0.312972,9,233.638,1002,118
10,157,-35.662,70.626892,50.86422,-0.250184,10,230.311,1002,110
11,92,-72.324,52.081612,38.14431,-0.358758,11,234.296,1002,201
12,97,-85.436,49.423862,35.661701,-0.336522,12,228.645,1002,96
13,100,-90.873,62.50061,44.462406,-0.300515,13,231.384,1002,201
14,116,-83.381,42.459724,31.153782,-0.209856,14,232.522,1002,201
15,104,-84.983,44.562218,32.111801,-0.34322,15,244.275,1002,201
16,178,-51.23,55.23901,38.967831,-0.321279,16,235.358,1002,177
17,77,-69.738,30.052542,22.063337,-0.209772,17,229.933,1002,201
18,91,-90.596,62.662308,43.661686,-0.306423,18,-76.647,133,201
19,120,-83.373,50.159847,35.427483,-0.356728,19,233.833,1002,197
20,183,-71.081,48.047649,34.150589,-0.395589,20,233.314,1002,201
21,111,-79.73,40.226185,28.622217,-0.156274,21,-6.022,455,201
22,179,-50.88,51.770054,36.355579,-0.338036,22,240.384,1002,122
23,190,-67.626,51.075031,35.768322,-0.376123,23,240.762,1002,201
24,97,-89.64,25.822893,18.519638,-0.24825,24,231.151,1002,201
25,111,-88.64,51.355301,35.488346,-0.182243,25,222.21,1002,201
26,249,17.566,39.753422,27.802923,-0.190989,26,237.303,1002,201
27,137,-54.182,51.772717,35.97681,-0.325525,27,233.354,1002,201
28,108,-80.609,51.288784,35.546635,-0.318329,28,89.267,837,163
29,75,-93.311,49.148098,34.351219,-0.322076,29,231.812,1002,194
30,196,-26.228,46.429199,32.547497,-0.258905,30,247.797,1002,138
31,91,-92.904,53.997761,37.700817,-0.396831,31,228.923,1002,201
32,40,-97.198,38.337055,27.214834,-0.402415,32,241.881,1002,116
33,93,-82.461,39.684788,28.076918,-0.246303,33,-3.579,414,172
34,102,-83.74,51.046955,35.821903,-0.264353,34,224.376,1002,201
35,175,-67.813,38.335648,27.524811,-0.176144,35,-18.099,376,201
36,105,-90.402,42.764179,30.320896,-0.121299,36,65.914,721,201
37,122,-76.916,49.014523,34.720451,-0.263615,37,231.644,1002,201
38,121,-83.379,38.564308,27.488619,-0.244896,38,234.067,1002,147
39,129,-80.202,35.878613,25.589397,-0.093536,39,89.521,843,172
40,187,-15.48,37.931042,26.990208,-0.151665,40,232.303,1002,201
41,100,-76.176,30.882523,22.329399,-0.094707,41,2.322,475,164
42,219,-46.352,43.666779,30.984234,-0.135281,42,-49.386,216,201
43,61,-95.419,30.866304,22.25676,-0.125474,43,-15.788,379,201
44,303,-25.63,36.904243,26.184689,-0.045018,44,232.262,1002,201
45,70,-93.794,48.585541,34.424847,-0.245577,45,-33.673,244,201
46,142,-73.269,29.350019,21.288628,-0.120934,46,233.326,1002,189
47,106,-82.839,52.649189,36.910385,-0.203658,47,239.002,1002,201
48,91,-87.435,48.98864,34.518486,-0.220736,48,222.407,1002,201
49,80,-93.168,47.711617,33.858093,-0.24144,49,235.344,1002,201
50,226,-49.101,39.684479,28.605015,-0.16332,50,228.496,1002,201
51,147,-79.946,27.529253,20.145006,-0.066005,51,224.068,1002,89
52,142,-72.281,53.913132,37.899578,-0.132351,52,240.089,1002,201
53,117,-80.642,39.776073,28.761728,-0.206291,53,234.531,1002,198
54,133,-77.123,44.870197,32.070892,-0.121752,54,230.248,1002,105
55,68,-90.003,34.338371,25.501307,-0.218893,55,241.697,1002,140
56,92,-47.087,35.382141,25.991583,-0.178578,56,233.35,1002,201
57,136,-79.217,40.720779,29.473289,-0.159557,57,234.291,1002,127
58,362,16.519,36.080231,26.094614,-0.1254,58,234.153,1002,201
59,60,-95.395,30.899975,22.540281,-0.055082,59,-71.243,106,201
60,57,-95.701,59.447048,41.692368,-0.137984,60,236.706,1002,201
61,48,-96.809,42.228306,30.30308,-0.303332,61,226.826,1002,201
62,56,-95.613,38.826481,27.899065,-0.22683,62,231.57,1002,156
63,68,-94.314,32.20282,23.405832,-0.2078,63,230.048,1002,201
64,150,-79.319,43.631893,30.888012,-0.114258,64,228.454,1002,201
65,98,-91.436,33.483101,24.037842,-0.184489,65,237.828,1002,189
66,53,-96.338,46.693024,32.72971,-0.125019,66,233.626,1002,124
67,127,-85.597,41.686207,29.501627,-0.225476,67,227.881,1002,108
68,188,-62.817,34.468777,24.499044,-0.088886,68,225.191,1002,157
69,108,-88.147,45.375683,32.029903,-0.199561,69,-13.769,404,201
70,42,-96.869,43.650646,31.111328,-0.290172,70,231.163,1002,113
71,91,-90.975,44.160942,31.45397,-0.308334,71,81.997,735,201
72,128,-66.334,41.847664,30.081453,-0.23501,72,226.381,1002,201
73,101,-78.619,31.973822,23.476082,-0.135249,73,233.332,1002,201
74,125,-81.215,29.875187,21.810249,-0.050696,74,232.579,1002,201
75,181,-57.253,27.682707,20.282343,-0.063028,75,233.97,1002,196
76,94,-85.541,50.864124,35.817551,-0.08929,76,248.324,1002,201
