steps,episode,episode steps,reward,loss,mse,mean_q,test episode,test reward,test steps,test steps(s)
37/500000,1,37,-94.18,0.59612,2.079947,0.251278,1,-43.982,294,201
112/500000,2,75,-94.303,61.10384,41.850441,-0.550415,2,97.026,689,106
187/500000,3,75,-93.802,67.227539,45.629742,-0.544683,3,-78.105,116,195
241/500000,4,54,-95.061,78.043907,53.344238,-0.410909,4,0.46,373,174
325/500000,5,84,-93.842,59.640068,41.403755,-0.24944,5,-36.879,291,97
409/500000,6,84,-93.136,68.391174,47.403538,-0.089288,6,-55.179,177,201
514/500000,7,105,-90.64,65.308159,45.986416,-0.01833,7,28.334,489,104
633/500000,8,119,-87.969,68.550385,48.827965,-0.268101,8,14.547,441,70
832/500000,9,199,-64.119,45.966141,33.993984,-0.008882,9,-92.928,76,106
928/500000,10,96,-79.957,60.827869,43.658234,-0.143131,10,31.738,456,134
1132/500000,11,204,-70.129,42.254169,30.72047,-0.242452,11,-77.455,136,201
1202/500000,12,70,-94.434,57.074337,40.21904,-0.372283,12,-11.57,401,187
1305/500000,13,103,-85.499,49.971264,36.090298,-0.28777,13,-54.834,183,100
1399/500000,14,94,-76.264,43.73053,32.487785,-0.16618,14,382.233,1002,124
1592/500000,15,193,-51.32,44.554394,32.270195,-0.228931,15,130.554,750,189
1697/500000,16,105,-85.611,48.231701,34.547359,-0.340639,16,17.588,428,165
1894/500000,17,197,-35.756,50.571255,35.774204,-0.277146,17,-59.048,186,197
1926/500000,18,32,-97.216,58.045353,41.045937,-0.355214,18,-35.462,277,201
2028/500000,19,102,-82.9,37.826035,27.415951,-0.321214,19,-43.474,220,190
2186/500000,20,158,-77.701,48.34082,34.824795,-0.306402,20,-56.006,216,143
2352/500000,21,166,-61.682,39.929256,29.298969,-0.189938,21,-64.115,185,163
2488/500000,22,136,-81.284,45.285801,33.315899,-0.192857,22,-61.907,193,100
2617/500000,23,129,-67.469,43.362827,31.76251,-0.251492,23,-41.823,267,107
2690/500000,24,73,-92.874,48.765419,35.410416,-0.342403,24,-39.193,244,150
2930/500000,25,240,0.911,35.519798,26.313517,-0.267096,25,-29.606,334,92
3085/500000,26,155,-56.924,35.781399,26.012608,-0.152992,26,-63.958,216,123
3420/500000,27,335,22.147,35.138142,25.143995,-0.138009,27,111.582,750,118
3553/500000,28,133,-75.092,35.945763,25.69524,-0.195861,28,72.864,739,143
3731/500000,29,178,-41.315,39.593899,28.336575,-0.18849,29,-74.258,110,127
3816/500000,30,85,-77.781,36.033478,26.047915,-0.113892,30,-66.628,157,135
4023/500000,31,207,-44.553,35.70713,25.795965,-0.117088,31,-60.238,169,201
4169/500000,32,146,-77.741,31.679012,23.323483,-0.116446,32,88.692,606,201
4425/500000,33,256,1.711,43.41507,31.029533,-0.177527,33,-61.824,165,91
4549/500000,34,124,-77.278,42.168564,30.413731,-0.17739,34,-24.779,251,143
4756/500000,35,207,-17.874,35.706703,25.844057,-0.179626,35,-16.449,376,183
4846/500000,36,90,-91.953,37.786083,27.119087,0.013132,36,-87.065,101,97
4959/500000,37,113,-83.203,39.505245,28.096857,-0.062274,37,-88.329,96,168
5164/500000,38,205,-41.265,30.957644,22.360525,-0.080063,38,-48.818,229,145
5234/500000,39,70,-94.594,19.926382,14.916884,-0.001532,39,76.096,729,122
5310/500000,40,76,-94.171,36.317741,25.781593,0.032268,40,101.033,729,79
5372/500000,41,62,-94.783,32.205917,23.269493,-0.02166,41,-65.776,168,78
5439/500000,42,67,-94.487,27.769926,20.273884,-0.005951,42,-14.918,304,179
5650/500000,43,211,-24.738,38.777058,27.532564,-0.090736,43,333.144,1002,197
5784/500000,44,134,-84.769,36.681496,26.135542,-0.146421,44,-88.698,99,201
5869/500000,45,85,-92.254,59.357124,41.624447,-0.269657,45,-87.779,105,119
6127/500000,46,258,-22.993,35.875244,25.916882,-0.218324,46,-64.657,148,201
6252/500000,47,125,-72.635,40.661442,29.075558,-0.179708,47,79.5,684,134
6448/500000,48,196,-43.745,33.527748,24.160074,-0.117385,48,-32.328,235,122
