steps,episode,episode steps,episode reward,loss,mse,mean_q,test episode,test reward,test steps,test steps(s)
34/500000,1,34,-91.938,0.409461,1.946604,0.435892,1,21.401,431,201
70/500000,2,36,-84.557,93.155495,66.141846,0.470333,2,-94.285,79,138
314/500000,3,244,-65.38,63.44368,55.948452,-0.057292,3,-66.83,139,201
448/500000,4,134,-86.117,43.174152,44.766514,-0.037189,4,-58.601,166,161
583/500000,5,135,-68.053,37.769497,40.978642,-0.026167,5,140.915,853,143
951/500000,6,368,-37.841,37.095734,39.151905,-0.133189,6,173.082,933,123
1100/500000,7,149,-81.061,21.428776,26.088215,0.077519,7,297.821,1002,151
1278/500000,8,178,-46.622,37.285946,35.181499,-0.032546,8,351.873,1002,121
1934/500000,9,656,90.928,20.099112,20.084187,0.072693,9,17.387,357,70
2002/500000,10,68,-95.099,30.018784,24.047441,0.080751,10,77.337,539,201
2173/500000,11,171,-73.031,20.894127,17.359535,0.012188,11,333.411,1002,109
2227/500000,12,54,-96.193,37.655777,28.344334,0.068368,12,-18.651,296,180
2396/500000,13,169,-57.561,35.693127,26.770041,-0.160326,13,203.285,906,201
2594/500000,14,198,-69.02,22.958973,18.201441,0.010097,14,286.791,1002,178
3055/500000,15,461,10.059,20.246737,16.416492,0.073245,15,121.933,762,188
3118/500000,16,63,-95.582,22.79936,17.69141,0.099744,16,-41.307,236,165
3767/500000,17,649,79.804,22.833637,18.111837,0.035345,17,2.828,362,197
4078/500000,18,311,82.723,26.988787,20.932043,-0.026252,18,39.537,451,62
4119/500000,19,41,-96.512,23.115658,18.626997,0.004719,19,-95.313,55,185
4556/500000,20,437,16.294,23.543173,19.741026,0.038451,20,292.474,1002,143
4762/500000,21,206,-18.527,19.145878,16.625612,0.151325,21,20.749,362,128
4897/500000,22,135,-83.311,22.236139,18.585546,0.097477,22,87.978,655,103
4944/500000,23,47,-96.854,23.547276,19.515076,0.116943,23,286.463,1002,194
5410/500000,24,466,65.16,20.89661,17.306339,0.08947,24,-82.006,115,201
