#{"env_id": "SetDown-v2", "t_start": 1532964855.3560827}
r,l,t
10,24,0.844547
10,42,0.935643
10,35,1.013948
10,38,1.096422
10,41,1.184023
10,29,1.245584
10,23,1.294381
10,35,1.36666
10,32,1.432936
10,23,1.483
10,29,1.546675
10,37,1.626209
10,26,1.680718
10,54,1.790782
10,41,1.879141
10,35,1.956839
10,14,1.989178
10,27,2.047055
10,38,2.131525
10,33,2.210852
10,24,2.262774
10,15,2.299373
10,33,2.383203
-0.80532,30,2.455067
10,27,2.514391
10,22,2.561403
-0.304676,22,2.614119
10,17,2.653411
10,31,2.725654
10,49,2.832007
10,22,2.880919
10,39,2.975767
-2.102098,25,3.343716
10,23,3.397382
10,26,3.45486
10,31,3.530848
10,27,3.599009
10,39,3.689457
-0.363955,34,3.767039
10,22,3.822794
10,37,3.904295
10,46,4.005598
10,17,4.04345
10,30,4.109147
10,28,4.171226
10,32,4.24528
-4.046764,20,4.292251
-3.312264,23,4.345224
-8.788093,12,4.373681
10,24,4.427749
-8.194803,18,4.469334
10,41,4.557205
-5.633531,23,4.606229
-6.194531,21,4.651549
-2.122698,26,4.710348
10,31,4.775906
-0.736438,27,4.83422
10,30,4.901251
-8.823093,14,4.934022
10,26,4.998731
10,47,5.100364
10,20,5.148188
10,27,5.207113
10,27,5.266166
-1.689372,39,5.351648
10,30,5.420027
10,25,5.479711
10,25,5.536278
10,39,5.777605
10,37,5.863954
10,23,5.917173
10,31,5.999992
10,31,6.071825
10,31,6.141266
10,32,6.209769
10,30,6.27928
10,18,6.319289
10,28,6.381249
10,40,6.474093
10,41,6.567247
10,44,6.662464
10,27,6.724228
10,40,6.815886
10,30,6.884156
10,31,6.952227
10,41,7.041757
10,49,7.149113
10,26,7.209994
10,35,7.290117
10,32,7.362791
10,24,7.422183
10,32,7.496267
10,29,7.559064
10,17,7.596962
10,30,7.662501
10,36,7.739944
10,24,7.792267
10,42,7.887967
10,27,7.945022
10,41,8.184519
-2.483635,20,8.229171
10,26,8.288161
-0.24095,36,8.368603
10,33,8.449181
10,18,8.489301
10,26,8.548031
10,28,8.607513
10,30,8.67332
10,41,8.760429
10,24,8.812286
10,23,8.863092
-1.8515,11,8.888927
10,24,8.942202
10,16,8.97621
10,18,9.01721
-1.526009,24,9.070215
10,14,9.102931
10,28,9.164255
10,28,9.225882
10,35,9.308643
10,18,9.349465
10,35,9.42751
10,45,9.527451
10,26,9.585586
10,24,9.638125
-0.177607,32,9.708
10,14,9.742386
10,26,9.801455
10,36,9.882478
10,23,9.932999
10,32,10.005585
10,34,10.07959
10,29,10.14293
10,26,10.200295
10,20,10.247466
10,34,10.326237
10,25,10.383487
10,25,10.586249
10,24,10.641607
10,17,10.683168
10,30,10.752224
10,23,10.810094
10,21,10.860723
10,21,10.90853
-6.455376,27,10.970699
10,30,11.036305
-1.17261,17,11.078278
10,21,11.124722
10,26,11.184979
-0.180979,11,11.211543
-0.65474,35,11.291745
10,15,11.324522
10,25,11.382489
10,26,11.441685
10,30,11.507758
10,23,11.564445
10,18,11.60687
10,30,11.673488
10,17,11.713805
-2.479495,27,11.782422
10,24,11.837311
-1.0771,24,11.891674
10,34,11.963851
-2.006375,18,12.004734
10,18,12.044271
-1.2171,25,12.101253
10,29,12.163365
10,33,12.236493
10,27,12.297848
-2.349375,24,12.354274
-4.854079,22,12.407653
-12.075742,22,12.457793
10,19,12.500115
-1.382542,27,12.560508
-0.9221,26,12.61956
-0.748848,26,12.679576
-0.271504,25,12.735375
10,25,12.788012
-7.549521,20,12.978736
10,20,13.025167
10,32,13.095539
10,21,13.143251
10,26,13.208882
10,14,13.245183
10,38,13.331803
10,23,13.383892
10,22,13.436356
10,24,13.488269
10,39,13.573786
10,43,13.665352
10,37,13.743947
10,33,13.816522
10,36,13.896083
10,19,13.939052
10,36,14.017298
10,35,14.096634
10,17,14.135406
10,25,14.191888
10,32,14.263904
10,29,14.332098
10,29,14.398529
10,36,14.480013
10,25,14.538973
10,22,14.589313
10,20,14.63588
10,18,14.67574
10,32,14.748909
10,24,14.803434
10,19,14.847577
10,13,14.87661
10,20,14.922079
10,24,14.97753
10,26,15.034287
10,31,15.101942
10,28,15.16822
10,24,15.223573
10,22,15.421195
10,31,15.489538
10,19,15.534687
10,29,15.608309
-0.981929,26,15.672388
10,29,15.73354
10,24,15.78756
-0.333198,19,15.831127
10,24,15.884746
10,19,15.929037
-0.190087,31,16.0026
-1.577673,27,16.061105
-3.303812,20,16.106202
10,16,16.142322
10,26,16.199307
-4.153785,20,16.244347
-0.48794,25,16.303835
10,26,16.362761
10,33,16.439197
-5.039011,21,16.487327
10,24,16.539152
10,31,16.611929
10,31,16.681846
10,26,16.74139
-0.656216,24,16.795392
10,24,16.85173
-0.61657,21,16.903098
10,28,16.965919
-0.736125,16,17.002156
10,20,17.046586
-2.691951,21,17.096142
-0.066546,17,17.133011
-1.775101,27,17.193943
10,25,17.249514
10,16,17.284883
10,20,17.329998
10,18,17.371063
-1.284078,25,17.428347
-3.079107,24,17.483908
10,26,17.543884
10,23,17.596663
-0.018546,23,17.651586
10,16,17.831741
-1.612559,18,17.878428
10,19,17.928896
-1.610059,17,17.970992
10,28,18.03322
10,28,18.097951
10,22,18.147127
10,28,18.208014
10,34,18.284866
-3.279644,18,18.327902
10,31,18.395638
10,28,18.459412
10,50,18.57045
-1.609059,16,18.60481
10,30,18.669706
10,25,18.726644
-3.423205,26,18.782577
-1.873699,16,18.817066
-2.393319,19,18.859572
-4.467373,29,18.929641
10,24,18.985451
10,19,19.031394
10,32,19.101501
10,19,19.146254
10,16,19.182966
10,28,19.244705
10,24,19.297214
10,25,19.352803
10,28,19.416317
10,22,19.465028
10,31,19.536041
10,21,19.587685
-1.121289,45,19.684
10,14,19.715399
10,25,19.771345
10,16,19.808135
10,16,19.844139
10,24,19.896511
10,30,19.966333
-0.676379,33,20.039215
10,25,20.245378
-0.211259,26,20.305104
-0.606014,17,20.345418
10,27,20.416966
-1.560092,19,20.470769
10,18,20.51648
10,18,20.5587
-0.155747,11,20.584766
10,21,20.631024
-3.08755,26,20.689211
10,22,20.736809
10,29,20.801129
10,23,20.853895
-0.882274,17,20.894111
10,24,20.950264
10,28,21.013554
10,26,21.072329
10,22,21.126317
10,27,21.187931
-6.010503,18,21.231804
10,34,21.305944
10,23,21.358606
10,20,21.405
10,31,21.47417
10,24,21.526716
10,28,21.59259
10,31,21.658072
10,22,21.706685
-0.89974,26,21.76352
-7.033525,48,21.866436
