serial_timesteps,total_timesteps,nupdates,eprewmean,value_loss,approxkl,explained_variance,policy_loss,clipfrac,eplenmean,time_elapsed,fps,policy_entropy
1000,2000,1,2.675019104477612,16.114378,7.372813e-05,0.03226423263549805,-0.00017636982,0.0,29.432835820895523,2.653353214263916,753,1.0984782
2000,4000,2,4.817805772058824,12.094183,3.3844444e-05,0.04555654525756836,-2.235842e-05,0.0,29.183823529411764,5.079916954040527,827,1.0982745
3000,6000,3,6.20903894,11.631583,0.0010579252,-0.012070059776306152,-0.0020778424,0.0053999997,29.86,7.490333795547485,829,1.0969478
4000,8000,4,6.233786198555957,11.892989,0.0011783324,-0.09040307998657227,-0.0011310047,0.0,28.855595667870038,9.876171350479126,838,1.0840409
5000,10000,5,5.958405830555555,10.142618,0.00041537243,-0.06660091876983643,-0.00062145136,0.0,27.719444444444445,12.308612585067749,822,1.0732583
6000,12000,6,6.458881389908257,11.417264,0.00046398916,-0.253399133682251,-0.0005605337,0.0,27.46559633027523,14.718347549438477,830,1.0641856
7000,14000,7,6.333075671179884,8.395504,0.00088185177,-0.14857375621795654,-0.00077625894,0.0,27.06382978723404,17.150423288345337,822,1.0366458
8000,16000,8,6.466628515859766,9.806463,0.00030709273,-0.2367645502090454,-0.000385995,0.0,26.65442404006678,19.562975883483887,829,1.0231693
9000,18000,9,6.545736175695461,9.519229,0.0022156865,-0.2388160228729248,-0.0021320211,0.0099,26.348462664714496,21.99755573272705,822,0.9969567
10000,20000,10,6.619940584856396,10.219065,0.00034905283,-0.3519963026046753,-0.0003086636,0.0,26.10182767624021,24.435225009918213,820,0.95531416
11000,22000,11,6.713282193396227,9.217792,0.0003370442,-0.37413620948791504,-0.00034709013,0.0,25.92570754716981,26.855093002319336,826,0.9311824
12000,24000,12,6.777539957081545,9.40489,0.0010019011,-0.46951591968536377,-0.001428017,0.0089,25.739270386266096,29.25900173187256,832,0.9377164
13000,26000,13,6.7799607612966595,9.750424,0.00046730784,-0.21523845195770264,5.499269e-05,0.0,25.509823182711198,31.702065467834473,818,0.9783709
14000,28000,14,6.896945569105692,8.940415,0.0004006539,-0.5238100290298462,-0.00044081692,0.00029999999,25.275519421860885,34.14297556877136,819,0.99182594
15000,30000,15,6.916005448739496,8.648275,0.00029728818,-0.423098087310791,-0.00047940866,0.0,25.19831932773109,36.5669903755188,825,1.0046089
16000,32000,16,6.941641322378717,8.0255375,0.00022591137,-0.34368157386779785,-0.00038947046,1e-04,25.022691705790297,39.0433988571167,807,1.0002835
17000,34000,17,6.800981005120703,8.348178,0.00011438368,-0.24632883071899414,-9.925261e-05,0.0,24.854425749817118,41.49437618255615,816,1.0167413
18000,36000,18,6.732667197794625,9.508737,0.00079234765,-0.3259342908859253,-0.00080883235,1e-04,24.796002756719503,43.90558695793152,829,1.0012398
19000,38000,19,6.687841181996086,9.45745,0.0001063141,-0.32110273838043213,-8.335387e-05,0.0,24.777560339204175,46.34616041183472,819,0.9802186
20000,40000,20,6.724302685448916,7.162824,0.00026944152,-0.34371960163116455,-0.0005040502,0.0,24.760990712074303,48.78345012664795,820,0.9929659
21000,42000,21,6.712369649411765,8.562836,0.00042967536,-0.29849421977996826,-0.00044492885,0.0,24.683529411764706,51.23822593688965,815,0.99503374
22000,44000,22,6.569875562011173,12.27814,0.00035714373,-0.17510533332824707,-0.00051672925,0.0,24.554189944134077,53.66826009750366,823,1.0163548
23000,46000,23,6.683215420575693,7.441423,0.0004909029,-0.4263709783554077,-0.0007593707,0.0,24.502132196162048,56.12520980834961,814,1.024692
24000,48000,24,6.668013991339786,9.247621,0.0017258312,-0.18078553676605225,-0.0010337724,0.00049999997,24.430973000509425,58.5907461643219,811,0.98162156
25000,50000,25,6.716357552297165,6.673887,0.00016249783,-0.38630616664886475,-0.000109148634,0.0,24.426197458455523,61.01100993156433,826,0.9493412
26000,52000,26,6.637442667915691,10.052605,6.9107686e-05,-0.2954592704772949,2.679752e-05,0.0,24.3480093676815,63.46924638748169,813,0.9351379
27000,54000,27,6.59420891805493,10.245203,0.00016996755,-0.20677173137664795,-0.00012690554,0.0,24.30211616389014,65.90781021118164,820,0.93627244
28000,56000,28,6.687130348222029,6.5969324,0.000101820006,-0.5825783014297485,-0.00016002805,0.0,24.269297484822204,68.36042428016663,815,0.96164596
29000,58000,29,6.649560879648975,7.7132225,0.0009830577,-0.16421175003051758,-0.0012529283,0.0023999999,24.227747597158377,70.79054427146912,823,0.9177554
30000,60000,30,6.669192230024214,6.4552083,0.00051846594,-0.30364251136779785,-0.0012602973,1e-04,24.206214689265536,73.23200821876526,819,0.8896148
31000,62000,31,6.621735976209049,10.385337,3.5714576e-05,-0.24820268154144287,7.184006e-05,0.0,24.16770670826833,75.6808271408081,817,0.88787544
32000,64000,32,6.705307525084874,5.8506904,0.0001425474,-0.5669896602630615,-0.00042233235,0.0,24.129385137683894,78.12274622917175,819,0.8928819
33000,66000,33,6.74809102047532,5.654279,0.0005748551,-0.30937063694000244,-0.00074305444,0.0036,24.124314442413162,80.58493399620056,812,0.89319384
34000,68000,34,6.765728830148621,6.1064196,0.00032035017,-0.32003939151763916,-0.00047356513,0.0009,24.060155697098374,83.0482873916626,812,0.8912617
35000,70000,35,6.767440497771684,5.742916,0.000523011,-0.06297671794891357,-0.0007775065,0.0038,23.985944463489886,85.4948480129242,817,0.8723375
36000,72000,36,6.6708971357737115,9.572056,0.00017726287,-0.10152149200439453,-0.00038886987,0.0,23.954076539101496,87.9305567741394,821,0.86355627
37000,74000,37,6.637925001932368,6.8886747,0.001038445,-0.13650226593017578,-0.0015869827,0.0052,23.82608695652174,90.42743468284607,801,0.8639423
38000,76000,38,6.706998235441452,5.486321,0.0002499947,-0.739757776260376,-0.00028680646,0.0,23.783030682529745,92.87048697471619,819,0.85758454
39000,78000,39,6.589218733718807,15.693102,9.783254e-05,-0.2730684280395508,-0.00029895245,0.0,23.72915398660986,95.3005096912384,823,0.84438735
40000,80000,40,6.53393932247557,7.9342256,0.0013097164,-0.05915224552154541,-0.0011807098,0.0072000003,23.67959727568848,97.7426929473877,819,0.81900334
41000,82000,41,6.505579855780347,11.706691,2.7556724e-05,-0.31553101539611816,-0.00018894202,0.0,23.68728323699422,100.15026187896729,831,0.78790694
42000,84000,42,6.541006273984199,5.1445675,0.0010540333,-0.1357501745223999,-0.0010083481,0.0129,23.69469525959368,102.56804513931274,828,0.81742704
43000,86000,43,6.60709980308455,4.983777,0.000639694,-0.29242372512817383,-0.00119138,0.0026,23.676397686587716,105.02923202514648,813,0.8462525
44000,88000,44,6.629687804511279,7.1042633,0.00032760532,-0.271132230758667,-0.00014612124,0.0,23.626476906552096,107.50635933876038,807,0.8636152
45000,90000,45,6.675948011259492,6.3816905,0.0003975524,-0.2867799997329712,-0.0006298319,0.0002,23.56114166012045,109.9878556728363,806,0.882307
46000,92000,46,6.64739458997955,12.108668,0.00088568195,-0.3388361930847168,-0.0011840868,0.0026999998,23.51252556237219,112.44759726524353,813,0.90186936
47000,94000,47,6.612749506249999,10.743683,0.0004230918,-0.13514280319213867,-0.0005016975,0.0,23.4505,114.93564534187317,804,0.9044224
48000,96000,48,6.665729219,7.2144737,0.0008693744,-0.07528042793273926,-0.00023106199,0.0,23.25925,117.43209981918335,801,0.88425255
49000,98000,49,6.565780893250001,14.318033,0.00032600996,-0.2552720308303833,-0.00032028987,0.0,22.99,119.91363382339478,806,0.86486113
50000,100000,50,6.601027361000001,6.106388,0.0013320175,-0.062445878982543945,-0.00049372535,0.0074,22.89825,122.39299130439758,807,0.8332549
51000,102000,51,6.616548119749999,5.3767223,0.0006906813,-0.09732949733734131,-0.0003812429,0.0013,22.84475,124.85302376747131,813,0.8433797
52000,104000,52,6.6143945175,6.4541345,6.6179804e-05,-0.2233448028564453,-0.00029365218,0.0,22.79625,127.31504416465759,812,0.8429995
53000,106000,53,6.609652882250001,9.002154,0.0001633368,-0.14695847034454346,-0.00027421454,0.0,22.738,129.77808094024658,812,0.82496804
54000,108000,54,6.59844346775,5.622149,0.0020486729,-0.06319928169250488,-0.001220488,0.013699997,22.72025,132.22637748718262,817,0.7877922
55000,110000,55,6.594895123500001,5.975913,0.00022199877,-0.01139843463897705,-0.00019994107,1e-04,22.669,134.66752338409424,819,0.75814295
56000,112000,56,6.512723405250001,9.708759,4.5046043e-05,-0.10413885116577148,6.3294225e-05,0.0,22.632,137.08851981163025,826,0.73157287
57000,114000,57,6.4666988995,8.085914,0.0006368632,-0.010805726051330566,-0.0006133412,0.0037,22.61975,139.50296545028687,828,0.74799395
58000,116000,58,6.44486955875,6.6810637,0.00022951546,-0.0333176851272583,-0.0007897341,1e-04,22.59475,141.97460341453552,809,0.7721022
59000,118000,59,6.396737968249999,10.109618,0.0008270969,-0.12162899971008301,-0.00073719874,0.0036,22.58575,144.44661498069763,809,0.75953317
60000,120000,60,6.242415691250001,28.784697,0.0008984426,-0.28021395206451416,-0.0019165947,0.0039000001,22.536,146.89799213409424,816,0.6823325
61000,122000,61,6.2529156089999995,5.0161552,0.0011160665,-0.07504832744598389,-0.0010786321,0.0148,22.587,149.31269788742065,828,0.716337
62000,124000,62,6.334461771,3.3194256,0.0061152554,-0.07127439975738525,-0.004102274,0.0572,22.60325,151.73641395568848,825,0.8152728
63000,126000,63,6.3357735585,8.521833,0.0007221624,-0.06453394889831543,-0.00043455113,0.0,22.528,154.2204394340515,805,0.8548889
64000,128000,64,6.3394349089999995,7.963412,0.0018163436,0.008194684982299805,-0.0011846898,0.010400001,22.44475,156.7192726135254,800,0.8589252
65000,130000,65,6.2884672835,9.59103,0.001107876,-0.16180682182312012,-0.001136756,0.0049,22.36775,159.22097969055176,800,0.8326673
66000,132000,66,6.304282175,7.0439854,0.001123957,0.016557812690734863,-0.00068215514,0.0029999998,22.34025,161.69406843185425,809,0.7547195
67000,134000,67,6.378760636749999,3.6884022,0.00046578757,-0.01882016658782959,-0.0007316431,0.0044,22.366,164.15080404281616,814,0.76030755
