#{"t_start": 1532959683.9465976, "env_id": "SetDown-v2"}
r,l,t
10,24,0.880573
10,42,0.981283
10,36,1.070391
10,37,1.16322
-0.196152,40,1.256645
-4.515765,24,1.314074
10,27,1.379009
10,37,1.464381
10,34,1.545162
-0.317717,21,1.594612
-4.261187,28,1.661232
-1.698136,29,1.733222
-1.750383,32,1.808422
-0.275457,42,1.903556
10,31,1.974986
-1.607656,31,2.049506
-6.551869,29,2.122251
-5.59710,31,2.292161
-0.623387,29,2.359954
-0.754182,20,2.4010,34,10,35,2.4910,18,10,39,2.593168
10,27,2.657998
10,25,2.723814
-10.378545,27,2.789464
10,42,2.889558
10,49,3.006873
-5.582194,24,3.067219
10,35,3.149787
10,30,3.228358
10,30,3.294894
10,38,3.700258
10,30,3.772503
10,31,3.847672
-1.282512,37,3.951688
10,24,4.016851
10,19,4.062539
10,28,4.131314
10,23,4.189696
-3.19507,29,4.258614
-0.735333,19,4.304191
-0.007859,30,4.377912
10,38,4.472666
-0.272344,25,4.534346
10,25,4.595685
10,26,4.658314
-0.670387,25,4.72422
-3.89608,22,4.774659
-0.3906,22,4.833463
10,33,4.916691
10,30,4.990065
-0.755066,41,5.086828
10,61,5.225771
10,29,5.295223
10,39,5.393938
-1.195709,30,5.462366
-0.013243,31,5.534804
-0.178071,23,5.586974
-7.328258,30,5.66374
10,26,5.727212
10,37,5.813378
-7.121314,26,5.875592
10,32,5.956297
10,22,6.013057
10,25,6.073959
10,20,6.261638
10,41,6.358613
10,16,6.399525
-0.078884,25,6.466235
-1.718526,24,6.534309
10,28,6.607338
10,19,6.655216
10,31,6.730466
-0.001232,21,6.781546
10,29,6.851562
10,16,6.895892
10,40,6.985882
-2.900418,25,7.046496
-10.319017,42,7.148649
10,25,7.208956
10,28,7.276165
10,25,7.334395
-7.353997,17,7.38214
10,26,7.449517
-0.117487,21,7.501575
10,34,7.581229
10,32,7.658719
10,33,7.739497
10,23,7.793134
10,15,7.832613
10,31,7.903297
10,29,7.977681
-0.111557,24,8.035993
-4.066331,26,8.099471
10,15,8.136410,3-6.779572,2010,20,8.127337
10,27,8.19531
-4.696725,22,8.249707
10,34,8.327583
-0.993334,210,37,8.509710,210,23,8.56810,310,30,8.6410-0.810,35,8.866201
10,22,8.921376
10,15,8-1.78861810,35,9.040655
-9.967042,31,9.121557
10,19,9.174119
-4.79534,27,9.242563
10,37,9.33289
-0.763762,23,9.390821
10,21,9.439545
10,25,9.499029
-5.663592,22,9.552409
10,34,9.636593
10,16,9.682024
10,21,9.736933
-0.18239,30,9.807763
10,25,9.866999
10,26,9.935543
-0.389691,17,9.978348
10,28,10.043856
10,32,10.120932
10,28,10.193282
-4.223018,27,10.258728
10,17,10.30056
10,24,10.359631
10,29,10.430066
10,25,10.49132
10,28,10.555426
10,30,10.632436
-0.104469,26,10.69838
-2.883968,19,10.746224
10,23,10.802589
10,27,10.86453
10,14,10.901729
10,20,10.951741
10,32,11.027433
10,32,10.983927
10,21,10,30,11.1410,27,11.103185
10,32,11.182862
10,28,11.385941
-6.576234,22,11.447122
-13.073112,14,11.482432
10,24,11.542431
10,26,11.619063
10,25,11.685832
10,21,11.738638
10,29,11.809597
10,35,11.894438
10,19,11.938772
10,23,11.995547
-1.196235,26,12.056155
-8.606067,9,12.08442
10,31,12.166672
10,21,12.217665
10,31,12.298309
-1.150721,22,12.349844
10,25,12.411637
10,26,12.480587
10,20,12.530953
10,22,12.587914
