#{"env_id": "SetDown-v3", "t_start": 1533656580.3983033}
r,l,t
0,1501,9.001853
41,1501,17.018642
21,1501,26.17473
0,1501,33.838726
0,1501,42.887079
24,1501,50.791636
-429.274112,1501,59.926553
177,1501,67.718437
44,1501,76.80107
169,1501,84.631289
710,1501,93.774287
9,1501,101.666597
75,1501,110.826461
372,1501,118.701741
208,1501,126.502267
435,1501,135.617865
546,1501,143.759879
475,1501,152.98702
534,1501,161.073047
519,1501,170.11388
516,1501,178.108227
498,1501,187.357657
480,1501,194.930719
302,1501,204.109575
538,1501,212.013493
460,1501,221.242579
327,1501,229.651183
522,1501,241.463746
682,1501,249.858884
211,1501,257.823844
162,1501,266.889791
711,1501,274.795157
740,1501,283.899204
400,1501,291.696035
527.569239,1501,300.9369
686,1501,308.814761
396,1501,317.887059
534,1501,326.00354
725,1501,335.148287
767,1501,345.689404
273,1501,358.227568
587,1501,368.163875
643,1501,378.690607
805,1501,387.536521
886,1501,396.036166
552,1501,405.504356
569.682085,1501,413.601651
872.616527,1501,422.700196
622.500011,1501,430.646443
741.644644,1501,439.665169
632,1501,447.59203
775,1501,456.790399
720,1501,465.831717
720,1501,475.272938
410,1501,483.20528
802,1501,492.442564
481,1501,500.369985
892,1501,509.523659
672,1501,517.395996
709,1501,525.337266
564,1501,534.39726
856,1501,542.290295
690,1501,551.570664
645,1501,559.461901
796,1501,568.463782
758,1501,576.546241
703,1501,586.034926
400,1501,599.900907
564,1501,609.833624
420,1501,617.793393
475,1501,627.002103
620,1501,634.876559
843,1501,644.117197
308,1501,651.960334
591,1501,659.837904
745,1501,668.937448
276.695936,1501,676.962671
815,1501,686.023766
828,1501,695.882325
650,1501,709.978473
877.093764,1501,717.94286
941.4564,1501,727.345611
850,1501,735.39144
661,1501,744.452527
730,1501,752.124457
361,1501,761.286715
291,1501,769.150107
660,1501,776.907683
580,1501,786.200075
715,1501,794.168473
792,1501,803.552083
723,1501,811.608843
861,1501,820.840984
685,1501,828.862236
777,1501,837.891738
675,1501,847.058459
728,1501,857.050374
682,1501,869.383842
691,1501,879.307604
713,1501,887.662698
741,1501,897.220017
823,1501,905.018806
978,1501,912.96112
953,1501,922.527483
916,1501,930.602679
657,1501,939.92232
730,1501,947.925453
844,1501,957.081453
895.474837,1501,965.14774
803.097397,1501,974.282209
636.413828,1501,982.478944
392.348773,1501,991.703687
670,1501,999.842633
767,1501,1009.156331
844,1501,1017.261383
795,1501,1026.37912
741,1501,1034.424607
862,1501,1042.245408
794,1501,1051.682778
876,1501,1059.545738
938,1501,1068.673693
1021,1501,1076.94218
937,1501,1086.401486
974,1501,1094.416914
776,1501,1103.772815
878,1501,1111.993893
1047,1501,1121.168053
876,1501,1129.157401
682,1501,1138.374546
758,1501,1146.331407
890,1501,1155.464644
939,1501,1163.662766
680,1501,1172.029101
550,1501,1181.352643
889,1501,1189.497909
805,1501,1198.656499
926,1501,1206.550373
770,1501,1215.794904
659,1501,1223.87071
500,1501,1233.798669
616,1501,1242.03107
774,1501,1251.658201
401,1501,1259.894459
714,1501,1269.903866
596,1501,1278.431827
669,1501,1288.602407
411,1501,1297.428207
