#{"t_start": 1532339647.998624, "env_id": "SetDown-v3"}
r,l,t
43,261,1.74504
12,350,2.796544
214,1501,7.34424
124,1501,10.822143
72,1501,15.115346
14,365,16.165946
85,1501,20.514538
198,1501,24.955495
305,1501,28.746347
9,359,30.708757
78,1501,34.216321
23,222,35.018539
160,1501,39.318815
11,353,40.37204
177,1501,44.74308
85,1501,49.617742
792,1501,53.106656
10,306,55.45598
708,1501,60.146165
36,257,62.24317
29,339,63.529043
1286,1501,68.06946
1276,1501,73.02141
1293,1501,77.727679
29,380,78.855427
959,1501,83.249785
0,215,84.03029
516,1501,88.484172
749,1501,92.044726
20,296,93.827735
11,251,94.700589
38,260,95.58544
806,1501,99.190189
1117,1501,103.540096
0,230,104.357599
1228,1501,108.720556
36,287,109.696861
1280,1501,114.072834
8,291,115.02501
1312,1501,119.431553
1291,1501,123.772124
1323,1501,127.277102
9,300,128.249895
757,1028,131.689877
1203,1501,136.182706
23,450,137.462156
96,1501,142.088578
87,1501,145.773393
150,1501,150.219864
26,1501,154.59824
10,378,155.744472
648,1041,159.207695
614,836,161.402025
9,286,162.339641
327,1501,166.855338
413,1501,171.16995
802,1501,174.69307
343,604,177.214022
511,793,179.231724
270,499,180.622239
195,523,182.070706
601,1501,186.417017
971,1501,190.997455
0,207,191.855487
175,452,193.546481
126,583,196.514082
96,375,197.75698
40,392,199.076809
23,378,201.387997
13,386,203.342029
1233,1501,209.136578
809,1501,214.753302
875,1501,218.760145
33,377,220.879851
326,808,223.113892
1042,1385,227.66588
1316,1501,231.467753
478,1198,235.479063
12,302,236.52855
182,543,238.179703
14,285,240.145162
1101,1501,244.299249
1173,1501,249.204423
12,220,250.086168
1262,1501,254.928202
633,951,257.512182
1253,1501,262.629477
33,378,263.954177
26,215,264.815
12,345,266.918217
29,345,268.121828
1208,1501,272.160969
1366,1501,276.880245
553,1501,281.596019
21,472,283.034168
433,758,286.060368
1081,1501,289.841172
619,1501,294.544845
82,1501,299.365029
99,1501,303.210407
832,1501,307.934292
1305,1501,312.370888
904,1501,316.762529
1215,1501,320.33936
671,1501,324.820908
431,881,327.829467
1055,1196,330.728467
800,1000,334.020313
1274,1501,337.528517
13,345,339.46018
1315,1501,342.958662
410,1501,347.375162
716,1501,351.75922
255,1501,355.248316
1054,1501,359.597646
1063,1501,363.962564
80,1501,368.634222
82,1501,372.200987
97,1501,376.619391
842,1501,380.963842
320,606,382.639046
1252,1501,386.990184
219,1501,391.530321
1367,1501,395.243016
693,833,398.21205
0,218,399.030648
128,1501,403.599463
1288,1501,407.128785
235,1501,411.705364
20,207,412.481565
1239,1501,416.921915
52,1501,421.457226
1284,1501,425.024412
135,536,427.38268
39,334,428.412398
1174,1501,431.925463
97,1501,436.323428
124,942,439.500744
132,897,441.775612
176,787,444.632644
158,598,446.262649
72,470,447.64257
645,964,450.869174
244,793,452.901204
135,622,454.550534
1288,1501,458.963383
38,385,460.097986
97,473,461.425301
17,321,463.293015
800,1154,466.094702
15,341,467.157943
1101,1501,471.492165
83,634,473.154104
792,1501,477.48339
100,632,479.153605
649,1501,483.527767
828,1501,487.94281
868,1501,492.238744
663,1501,495.869321
377,1501,500.200233
224,605,501.811837
455,1045,505.230627
812,1501,509.685078
248,1501,513.316308
787,1501,517.726613
603,1501,522.192498
103,245,523.052042
12,632,524.723443
1055,1501,529.060157
1000,1501,533.447468
1007,1501,537.038699
1082,1501,541.648399
939,1501,546.069982
1187,1501,550.463136
1155,1501,554.078302
1209,1501,558.438973
1062,1501,562.873699
1068,1501,566.373269
109,617,568.837352
437,1096,571.535442
1295,1501,576.071075
121,703,577.87612
837,1501,582.332156
38,421,583.549691
61,430,585.604819
93,538,587.147874
777,1501,591.499381
1191,1501,595.097107
1005,1501,599.584552
103,705,601.420876
268,798,604.279082
1111,1501,607.81676
1139,1501,612.218384
124,624,614.70642
514,1501,618.276408
753,1501,622.637767
428,1501,627.000132
939,1501,630.501075
0,35,630.90381
943,1501,635.197177
198,722,637.862337
958,1501,641.371995
32,397,642.540407
995,1444,646.783962
0,113,647.353149
94,438,648.625284
24,237,650.285153
646,1501,653.880898
28,318,654.873438
0,125,656.303876
0,12,656.671829
1168,1501,660.42891
689,1501,664.756838
914,1501,669.074131
8,182,669.777231
19,199,670.510148
883,1501,674.942681
1225,1501,678.488768
468,964,681.725505
1130,1501,686.055358
1198,1501,689.557396
1091,1354,693.699991
21,440,694.949031
738,1230,698.728779
670,945,701.035982
0,241,701.880346
18,335,703.729414
918,1364,706.951833
198,446,708.213772
68,543,710.534529
1115,1461,714.079204
262,535,716.577556
615,847,719.079696
642,923,722.48091
873,1444,726.167977
0,218,726.960501
12,281,727.889686
195,436,729.984882
64,265,730.868359
36,215,731.660969
6,304,732.644332
398,572,734.178272
33,336,735.213558
389,603,737.659044
297,595,739.277061
355,572,740.818783
18,218,741.599486
1051,1501,745.913016
0,139,746.536447
950,1501,750.891158
960,1501,755.239015
63,279,756.143591
913,1501,760.477058
583,840,762.652101
152,441,763.921256
464,1501,768.265339
8,154,768.91781
38,257,769.776091
627,1005,773.06074
89,1318,776.186501
88,1291,780.095238
299,1501,784.409938
34,256,785.283762
278,1501,789.72849
351,643,791.420519
462,663,793.145205
202,480,794.496105
203,394,796.544605
252,534,798.033665
622,1231,800.973848
656,883,804.003271
704,960,806.354969
836,1066,809.810161
955,1226,812.780498
144,440,814.927603
827,1068,817.503094
12,257,818.371245
1126,1394,822.519774
1044,1501,826.958412
1037,1501,830.459742
1058,1501,834.784626
256,624,837.306497
1236,1501,840.84778
666,1501,845.16436
252,426,846.391451
415,654,848.084209
782,1213,851.860297
1173,1385,856.026543
665,907,858.302012
132,965,861.611131
366,1297,864.716934
593,1301,868.773514
193,1138,872.367883
309,868,874.543315
691,1501,878.915808
35,1354,882.14959
430,742,884.901877
1030,1501,888.441863
659,919,891.547641
572,1307,895.441801
775,1501,899.003258
719,969,902.172743
1025,1501,905.692102
0,52,906.118551
1227,1501,910.533638
973,1501,914.9497
878,1501,919.290158
1070,1501,922.927312
0,44,923.348598
514,1099,926.914769
31,317,927.911091
32,309,928.906372
1075,1501,933.367719
1100,1501,937.741065
0,231,938.583591
35,323,939.591606
1234,1501,943.981696
0,250,944.842947
1215,1501,949.234264
11,271,950.124034
1046,1501,953.74456
1351,1501,958.080318
1224,1501,962.434176
1284,1501,966.729827
648,1501,970.279364
971,1501,974.60828
36,1501,979.02376
252,1501,983.450588
418,1501,986.937706
1144,1501,991.328577
952,1501,995.660954
851,1501,1000.047062
942,1501,1003.557816
776,1501,1007.935875
746,1071,1011.422026
459,1501,1014.976378
1277,1501,1019.310361
718,1501,1023.724887
0,1501,1027.21511
9,1501,1031.541901
0,1501,1035.998775
0,1501,1040.379792
410,1501,1043.889777
88,1501,1048.259649
519,1501,1052.63608
0,1501,1057.060708
346,1501,1060.601182
962,1501,1065.056179
921,1501,1069.364207
0,1501,1072.864058
0,1501,1077.239382
0,1501,1081.692644
107,1501,1086.04148
0,1501,1089.576647
0,1501,1093.96901
380,1501,1098.404067
600,1501,1102.775383
106,1501,1106.271565
740,1501,1110.628091
520,1501,1115.177559
578,1501,1119.603738
766,1501,1123.109275
434,1501,1127.44182
707,1501,1131.789691
225,1501,1135.336032
508,1501,1139.790108
587,1501,1144.201921
0,1501,1148.67233
531,1501,1152.213237
279,1501,1156.757306
806,1501,1161.361243
282,1501,1165.725002
426,1501,1169.22271
130,1501,1173.539244
867,1501,1177.88521
120,1501,1182.285934
170,1501,1185.841123
0,1501,1190.220529
972,1501,1194.593646
972,1501,1198.12311
87,1501,1202.572099
792,1501,1206.87652
927,1501,1211.181753
947,1501,1214.693298
1029,1501,1219.068737
1222,1501,1223.433647
0,1501,1227.797895
1227,1501,1231.315218
0,1501,1235.728924
1167,1501,1240.107586
301,1501,1244.414508
1132,1501,1247.944555
273,1501,1252.282159
1116,1501,1256.623242
0,27,1257.007521
728,1501,1260.539117
1068,1501,1264.944246
1189,1501,1269.279227
1341,1501,1273.723681
841,1501,1277.328416
1252,1501,1281.69073
1349,1501,1286.027579
910,1501,1290.349301
1295,1501,1293.822067
1240,1501,1298.103298
367,1501,1302.442829
630,1501,1306.744383
756,1501,1310.292146
641,1497,1314.641018
538,1443,1318.880651
1304,1501,1322.445149
338,1501,1326.850043
793,1501,1331.299053
693,1501,1335.674691
1056,1501,1339.177722
1038,1501,1343.473186
928,1501,1347.787183
674,1501,1352.161376
571,1215,1355.12082
841,1263,1359.071376
1214,1501,1363.35802
216,725,1365.297107
1146,1501,1369.670913
1233,1501,1373.151303
1083,1501,1377.598496
974,1501,1382.003859
1184,1501,1386.396531
