nupdates,value_loss,total_timesteps,policy_entropy,clipfrac,eprewmean,policy_loss,explained_variance,serial_timesteps,approxkl,time_elapsed,fps,eplenmean
1,70.08644,2048,0.98938274,0.064697266,27.5,-0.002780545,0.8963745310902596,2048,0.00766566,6.136322736740112,333,305.5
2,119.49099,4096,1.2621839,0.07475586,98.25,0.000536355,0.6925940811634064,4096,0.006334453,11.921722650527954,354,903.25
3,98.24957,6144,1.1298499,0.13354492,79.83333333333333,-0.008125744,0.8304458856582642,6144,0.010147448,17.643919944763184,357,913.1666666666666
4,98.37886,8192,1.3462445,0.072705075,80.57142857142857,-0.0018672768,0.6699140667915344,8192,0.006114726,23.263863563537598,364,997.1428571428571
5,90.876884,10240,1.1578137,0.03413086,118.55555555555556,0.00014434788,0.804598942399025,10240,0.0030373503,29.42399024963379,332,1109.111111111111
6,70.73015,12288,1.0057929,0.08017578,98.08333333333333,-0.0001556615,0.8257668912410736,12288,0.008893733,35.55288100242615,334,1005.3333333333334
7,68.34118,14336,1.1041014,0.04584961,96.28571428571429,-0.003641336,0.8426358550786972,14336,0.0052508046,41.32802653312683,354,994.1428571428571
8,69.844666,16384,1.2345392,0.05703125,101.66666666666667,-0.0025801677,0.8103056252002716,16384,0.005042139,47.33873009681702,340,1027.9333333333334
9,63.627876,18432,1.2268277,0.04916992,141.2941176470588,-0.004326602,0.7440470457077026,18432,0.0048589194,53.622628688812256,325,1083.5882352941176
10,48.177193,20480,0.9602269,0.012792969,164.21052631578948,-0.002432507,0.8747332394123077,20480,0.0028794813,61.16526937484741,271,1064.6315789473683
11,21.423828,22528,0.9304048,0.06137695,203.22727272727272,-0.0017495938,0.9476303346455097,22528,0.007833389,68.85010957717896,266,1014.7727272727273
12,18.187243,24576,1.2946365,0.096191406,249.8695652173913,-0.00119592,0.8726460486650467,24576,0.008431448,74.90826439857483,338,1035.9130434782608
13,20.997019,26624,1.0518653,0.1619629,282.76,0.0031188463,0.9548561051487923,26624,0.03197261,80.92402791976929,340,1028.28
14,51.85202,28672,1.176564,0.061669923,297.3333333333333,0.0025650265,0.8596920222043991,28672,0.0061748484,86.87488794326782,344,1015.6666666666666
15,67.17442,30720,1.1299388,0.0056640627,320.44827586206895,-0.0010296027,0.7951786816120148,30720,0.0020275502,92.75834655761719,348,1049.1379310344828
16,38.295982,32768,0.95128316,0.035449218,308.1212121212121,-0.0027901302,0.9141547605395317,32768,0.004109836,99.33658814430237,311,991.9090909090909
17,23.266113,34816,1.0918696,0.024902344,322.42857142857144,-0.003039287,0.9374447241425514,34816,0.00312571,105.18366360664368,350,984.6857142857143
18,21.64132,36864,1.1303073,0.15625,339.1621621621622,-0.0016177427,0.9444546103477478,36864,0.013539134,111.09966588020325,346,979.7837837837837
19,22.368092,38912,1.1361129,0.12988281,354.79487179487177,0.0012338695,0.9528665542602539,38912,0.014438582,116.9897391796112,347,975.4871794871794
20,19.864532,40960,1.2403293,0.16235352,378.725,-0.00076524855,0.8780194669961929,40960,0.012805672,122.5259518623352,369,988.625
21,38.16233,43008,1.0487608,0.09506836,413.30232558139534,0.0011039645,0.9329729229211807,43008,0.009571561,128.67174363136292,333,996.4418604651163
22,21.689896,45056,1.186724,0.06572266,421.1136363636364,-0.0033899266,0.9186258986592293,45056,0.006421484,134.42480850219727,356,997.1590909090909
23,28.450083,47104,0.93086225,0.07626953,429.45652173913044,-0.0038576596,0.9486139118671417,47104,0.006370061,140.5332806110382,335,996.2173913043479
24,8.606552,49152,0.9440916,0.13764648,415.375,-0.001940265,0.9293392822146416,49152,0.009991825,146.546813249588,340,1017.25
25,16.245205,51200,1.0746907,0.08852539,409.9591836734694,-0.0033455957,0.7970439940690994,51200,0.007080119,152.18067932128906,363,1027.1224489795918
26,13.976351,53248,1.0380054,0.06499024,394.5882352941176,-0.006841091,0.9752433560788631,53248,0.005014538,158.13823318481445,343,1023.6862745098039
27,22.01107,55296,0.8454239,0.093164064,396.2037037037037,-0.0010702309,0.9595911391079426,55296,0.008090304,164.48068118095398,322,1006.8703703703703
28,18.096453,57344,1.0957881,0.027685547,394.94545454545454,0.00053277623,0.8074534237384796,57344,0.0037480176,170.04200053215027,368,1015.8545454545455
29,20.603403,59392,0.97710764,0.04511719,402.4035087719298,-0.0011764457,0.9300476312637329,59392,0.005107601,175.96450877189636,345,1032.877192982456
30,55.777832,61440,0.81690276,0.078710936,397.6393442622951,-0.004871597,0.892479881644249,61440,0.0051764655,182.45592522621155,315,1004.8032786885246
31,16.198608,63488,1.0173066,0.051464844,400.9193548387097,-0.0027970236,0.899550698697567,63488,0.0068365284,187.99047780036926,370,1012.8064516129032
