clipfrac,eplenmean,explained_variance,eprewmean,policy_loss,value_loss,fps,nupdates,approxkl,total_timesteps,policy_entropy,serial_timesteps,time_elapsed
0.010666665,nan,0.915434718132019,nan,-0.0014111686,29.82276,379,1,0.0010942346,1500,0.9669099,1500,3.950510025024414
0.0006666667,1499.0,0.9102509319782257,640.430487,-0.00022516212,34.465805,351,2,0.0001457256,3000,0.91225976,3000,8.231106042861938
0.02853332,1499.6666666666667,0.9168496802449226,583.7062613333334,-0.0058141295,51.282555,367,3,0.005069599,4500,0.92043185,4500,12.312498807907104
0.0015333333,1455.5,0.9214946031570435,581.6451059999999,-0.0003709119,32.793083,384,4,0.00028534804,6000,0.8751358,6000,16.209333896636963
0.002533333,1464.6,0.8287857472896576,465.31608479999994,-0.0011044551,141.12122,385,5,0.0013076753,7500,1.3147873,7500,20.10041880607605
0.0035333328,1470.6666666666667,0.7702029198408127,387.763404,-0.0021702612,133.10927,386,6,0.0017035663,9000,1.3003726,9000,23.978405475616455
0.0,1475.0,0.653298407793045,332.368632,0.00011857462,139.37003,386,7,9.9674675e-05,10500,1.3679026,10500,27.860675811767578
0.0009333334,1478.25,0.8521292358636856,290.82255299999997,-0.0017921856,142.3768,390,8,0.002054129,12000,1.3063637,12000,31.700984477996826
0.0,1480.7777777777778,0.9127437993884087,320.4755388888889,-0.00096473366,41.01536,393,9,0.00019311096,13500,0.955273,13500,35.513423204422
0.0,1464.0,0.9020512476563454,339.6570614,-8.921295e-06,35.058586,387,10,2.6915897e-05,15000,0.92209363,15000,39.38537240028381
0.0018666665,1467.3636363636363,0.8553005307912827,308.7791467272727,-0.0015202216,121.50295,393,11,0.0011029955,16500,1.152869,16500,43.20090985298157
0.0,1464.75,0.9221073016524315,332.99830441666666,-5.1919287e-05,34.06375,349,12,3.9590468e-05,18000,0.9201876,18000,47.49477553367615
0.0,1443.3846153846155,0.8961397632956505,335.7445059230769,-5.9115715e-05,39.18339,396,13,4.31339e-06,19500,0.8597646,19500,51.27399039268494
0.00033333336,1434.642857142857,0.8411564230918884,346.91307178571424,-0.00027773008,54.64708,366,14,2.709755e-05,21000,1.1611229,21000,55.365461349487305
0.00040000002,1439.0666666666666,0.8399219065904617,323.7855336666666,-0.00044288934,77.178665,358,15,5.886481e-05,22500,0.9880052,22500,59.54429745674133
0.0,1432.125,0.9413600265979767,334.62262387500004,7.532867e-05,18.967955,377,16,1.0540176e-05,24000,0.957247,24000,63.514841079711914
0.009133332,1414.2941176470588,0.8934077695012093,342.50772011764707,-0.0022127237,80.90154,387,17,0.0019806887,25500,1.1879748,25500,67.38406252861023
0.04553332,1419.111111111111,0.8386305421590805,323.4795134444445,-0.0017383582,109.6066,396,18,0.0028546418,27000,1.2723794,27000,71.17204856872559
0.0,1423.3,0.8375028818845749,319.52560855,-0.00022687516,61.850555,352,19,1.4898392e-05,28500,0.9634935,28500,75.42392301559448
0.0,1427.0,0.8810539543628693,330.89692571428577,-6.611354e-05,36.384476,400,20,1.3693639e-06,30000,0.9704352,30000,79.16492557525635
0.010466666,1430.3636363636363,0.7478915750980377,315.8561563636364,-0.0012460911,111.94116,385,21,0.0012825832,31500,1.3625689,31500,83.05762672424316
0.0,1433.4347826086957,0.9056853502988815,329.77866595652176,-6.845239e-05,27.374746,393,22,4.007044e-06,33000,1.0195191,33000,86.86532187461853
0.0018666665,1436.25,0.8216626197099686,316.0378882083333,-0.0008985363,104.838585,377,23,0.00076553726,34500,1.3035498,34500,90.83403325080872
0.0,1438.84,0.9016880169510841,328.62772815999995,-0.0007056012,30.338707,390,24,9.41141e-05,36000,1.0090486,36000,94.67869520187378
0.052533317,1441.2307692307693,0.8028325140476227,315.98820015384615,-0.0022364,98.68042,396,25,0.0030118586,37500,1.33464,37500,98.46556282043457
0.0,1442.2962962962963,0.9317203462123871,327.02297159259257,-0.00012688786,25.02681,393,26,3.514489e-05,39000,0.95180506,39000,102.27461910247803
0.0,1444.392857142857,0.9417356289923191,336.82522360714285,-0.00073192286,22.520506,394,27,9.189356e-05,40500,0.9041493,40500,106.07286381721497
0.0,1446.2413793103449,0.8905638307332993,345.07502589655167,-0.00045282216,36.042244,397,28,5.2399828e-05,42000,1.0168029,42000,109.84797668457031
0.009533334,1448.0666666666666,0.8270951211452484,333.5725250333333,-0.0030831075,91.24347,396,29,0.0021823077,43500,1.2827169,43500,113.63033986091614
0.02746667,1449.774193548387,0.8244450688362122,322.812121,-0.0015742916,93.08933,384,30,0.0028433548,45000,1.3100635,45000,117.53393006324768
0.017333327,1433.0,0.8941555693745613,316.5885296875,-0.0028408333,47.560204,397,31,0.0016238266,46500,0.77832675,46500,121.30999112129211
0.0022,1435.060606060606,0.9299544394016266,323.9883110909091,-0.0016230388,24.356207,381,32,0.0005344132,48000,0.98361474,48000,125.2418885231018
0.0,1436.2941176470588,0.9327224045991898,330.8142194411765,-0.00020427007,26.310015,394,33,4.2749747e-05,49500,0.94891596,49500,129.04253554344177
0.00033333336,1438.142857142857,0.9374866411089897,337.8458377142857,-0.00039754622,24.186316,401,34,9.968043e-05,51000,0.9542222,51000,132.77660155296326
0.0,1439.888888888889,0.8356086164712906,345.5584763333334,-7.633485e-05,33.143158,397,35,8.292762e-06,52500,1.215462,52500,136.55128407478333
0.0004666667,1441.5405405405406,0.8835766091942787,336.2190580540541,-0.0018495496,66.268585,399,36,0.0005392803,54000,1.1043254,54000,140.30381751060486
0.0,1443.1052631578948,0.8406413793563843,343.4489190526316,-5.5208497e-05,29.48974,399,37,6.1400286e-05,55500,1.1857197,55500,144.0604419708252
0.001733333,1444.5897435897436,0.8028911203145981,334.6425365128205,-0.00082131027,73.50885,394,38,0.0014583446,57000,1.3373208,57000,147.86777019500732
0.0007333334,1446.0,0.7398560047149658,326.27647310000003,-0.0010397946,73.9149,385,39,0.0014161468,58500,1.3903189,58500,151.75499320030212
0.0022666664,1447.341463414634,0.8701095581054688,318.3185103414634,-0.0014969913,60.796806,390,40,0.00038667567,60000,1.1005692,60000,155.59712290763855
0.0,1446.3333333333333,0.9065619930624962,323.7325804761905,-0.0003287832,26.191303,392,41,4.523859e-05,61500,0.95407397,61500,159.41715669631958
0.0,1447.6046511627908,0.9262720197439194,330.2255756046512,-0.00023978749,22.890537,401,42,1.859223e-05,63000,0.99385583,63000,163.15641331672668
0.0,1448.8181818181818,0.927540197968483,335.73196225000004,-0.0005802849,21.631014,401,43,7.039183e-05,64500,0.9786813,64500,166.89422416687012
0.0,1449.3555555555556,0.9456593617796898,341.5589390666667,-0.0007262843,18.714802,402,44,8.63263e-05,66000,0.98035777,66000,170.625634431839
0.0,1450.4782608695652,0.9421463124454021,347.03909865217395,-0.0006791406,20.333414,400,45,0.00018350579,67500,0.96015227,67500,174.37254428863525
0.0,1450.2978723404256,0.945509135723114,351.42175310638305,-0.0003477975,17.720823,407,46,3.924208e-05,69000,0.9423642,69000,178.0532248020172
0.0,1449.2708333333333,0.867911159992218,355.3868681041667,-0.00023546953,30.442554,401,47,1.7679611e-05,70500,1.2493948,70500,181.78934502601624
0.0,1450.3265306122448,0.8764820396900177,348.13407487755103,-0.00038803564,46.49693,398,48,7.253607e-05,72000,1.0865104,72000,185.54979991912842
0.047,1440.02,0.8737067878246307,344.16641990000005,-0.002646771,47.60869,399,49,0.0028971448,73500,1.3857366,73500,189.30255365371704
0.0018666664,1441.2156862745098,0.8502603471279144,337.41805872549025,-0.0013005343,49.31723,400,50,0.0015866496,75000,1.4161693,75000,193.05035638809204
0.015599995,1442.3653846153845,0.8386032432317734,330.9292499038462,-0.0023709028,47.53718,401,51,0.0027174803,76500,1.3925754,76500,196.78315472602844
0.0,1441.9259259259259,0.9373051300644875,328.00561353703705,-0.00043480593,22.478804,367,52,0.00010965805,78000,0.8410402,78000,200.87001967430115
0.016133329,1443.0,0.789400726556778,322.04187510909094,-0.0013107584,50.31381,396,53,0.002487596,79500,1.3229867,79500,204.65422797203064
0.0935333,1444.0357142857142,0.8324125409126282,316.2911273392857,-0.0040126443,49.158974,401,54,0.0052689915,81000,1.3348913,81000,208.392107963562
0.0,1440.6315789473683,0.9372140392661095,318.96543612280703,-0.00027755537,18.701874,402,55,6.4946864e-05,82500,0.77912307,82500,212.1165406703949
0.0085333325,1441.6724137931035,0.8428072333335876,313.4660320517242,-0.0018366622,46.086517,394,56,0.0015036751,84000,1.2261475,84000,215.9206099510193
0.0,1435.4745762711864,0.8743925094604492,313.79244154237296,-0.00028204324,32.939003,399,57,5.667133e-05,85500,1.1327897,85500,219.67291688919067
0.084199965,1436.5666666666666,0.7013959586620331,308.5625675166667,-0.004511211,44.374344,391,58,0.0052028964,87000,1.4159664,87000,223.50594305992126
0.0,1437.622950819672,0.8850537016987801,303.50416477049185,-0.00044365652,40.32095,397,59,0.0001426457,88500,1.0931795,88500,227.2786350250244
0.0,1422.8095238095239,0.907048836350441,300.68677725396833,-0.0002442489,31.222744,372,60,3.465799e-05,90000,0.813663,90000,231.30966973304749
0.04453332,1424.03125,0.7905817776918411,295.988546359375,-0.003436146,36.001495,401,61,0.0041802097,91500,1.3626316,91500,235.04589104652405
0.050933305,1425.2153846153847,0.8397182822227478,291.4348764153846,-0.003121551,36.53814,395,62,0.0046456465,93000,1.2322994,93000,238.83807945251465
0.0,1420.8181818181818,0.9161856323480606,291.93497796969694,-0.00038498835,23.367031,404,63,0.00015574557,94500,0.86298597,94500,242.54929113388062
0.00013333333,1404.3529411764705,0.9020705819129944,287.674053617647,-0.0021335743,31.846403,371,64,0.0005410579,96000,0.77372164,96000,246.58656787872314
0.018133331,1405.7536231884058,0.6712006032466888,283.5048644347826,-0.0024330833,35.805355,399,65,0.0032531766,97500,1.3861526,97500,250.33969736099243
0.0,1407.1142857142856,0.776165634393692,279.45479494285706,-0.00058666954,33.91134,397,66,0.00030943388,99000,1.3407947,99000,254.11302828788757
0.058533322,1408.4366197183099,0.8441246002912521,275.5188119154929,-0.0033475743,34.187504,386,67,0.003852861,100500,1.20278,100500,257.9941246509552
0.0,1404.4583333333333,0.8219808340072632,275.93218608333336,-0.000150673,24.718517,402,68,3.8682563e-05,102000,1.2770326,102000,261.7216856479645
0.0,1405.7808219178082,0.90286985039711,272.1522931232877,-0.00021167248,28.905449,394,69,5.484066e-05,103500,1.1202422,103500,265.5271098613739
0.0,1404.0405405405406,0.8944695591926575,274.4733227162162,-0.0010626037,23.259827,401,70,6.0176495e-05,105000,1.2268338,105000,269.2602262496948
0.08453329,1405.3333333333333,0.6141569912433624,270.8136784133334,-0.0052816104,28.615517,395,71,0.0058414508,106500,1.3981494,106500,273.05438208580017
0.0,1406.592105263158,0.9209280982613564,267.2503405394737,-0.0009678137,22.84465,380,72,0.00027362406,108000,1.0569402,108000,276.99436235427856
0.0,1401.320512820513,0.9305422455072403,269.8755155384615,-0.0004438138,23.757421,345,73,0.000113531736,109500,0.7644369,109500,281.33333015441895
0.00026666667,1402.5822784810127,0.8547899276018143,266.4593697721519,-0.00077698124,28.800322,376,74,0.00027084953,111000,1.2595184,111000,285.3200500011444
0.0,1400.625,0.9549164995551109,268.3475520125,-0.00046950422,14.432793,350,75,7.303727e-05,112500,0.7429121,112500,289.6000370979309
0.0,1397.8271604938273,0.9484370574355125,269.75457732098766,-0.00034068036,15.244587,389,76,5.8888443e-05,114000,0.8284636,114000,293.45043754577637
0.0,1394.9756097560976,0.9043700695037842,271.33620187804877,-0.00048572474,21.086004,379,77,7.505375e-05,115500,1.2874745,115500,297.4046392440796
0.024599995,1396.2530120481927,0.7799153178930283,268.06709101204814,-0.002318034,25.363344,384,78,0.003147845,117000,1.3309941,117000,301.3036708831787
0.005733333,1397.5,0.9530698657035828,264.8758161190476,-0.0018285719,15.779728,390,79,0.0009889425,118500,0.9804071,118500,305.1428463459015
0.0,1392.7790697674418,0.9320836588740349,268.1992622906977,-3.98791e-05,22.393177,353,80,8.50118e-06,120000,0.7873198,120000,309.38348293304443
