total_timesteps,eprewmean,approxkl,value_loss,serial_timesteps,explained_variance,policy_loss,fps,eplenmean,time_elapsed,nupdates,policy_entropy,clipfrac
1500,291.0,5.864122e-05,53.837822,1500,0.8683473765850067,-0.00027841466,348,1500.0,4.298151969909668,1,1.074367,0.0
3000,327.0,1.7905531e-05,42.947968,3000,0.8922176286578178,-0.0001868261,343,1500.0,8.67575216293335,2,1.0167096,0.0
4500,267.6666666666667,0.00013266389,55.13124,4500,0.8827345594763756,-0.0007475429,365,1500.0,12.77633786201477,3,1.0272219,0.0
6000,357.75,1.6744554e-05,29.791199,6000,0.9479812197387218,-0.0002719072,350,1500.0,17.060004949569702,4,1.0207392,0.0
7500,334.0,5.7734156e-05,29.695816,7500,0.9463076218962669,-0.00062394055,352,1436.4,21.309759616851807,5,0.7072515,0.0
9000,322.1666666666667,3.9046427e-05,50.930058,9000,0.9007370918989182,-0.00019758538,347,1447.0,25.625404834747314,6,1.039706,0.0
10500,344.2857142857143,7.412033e-05,37.326286,10500,0.9378666952252388,-0.00065741944,355,1454.5714285714287,29.846928358078003,7,0.98790085,0.0
12000,376.0,2.8473576e-05,26.818727,12000,0.9436971582472324,-0.00029402625,356,1452.875,34.057982444763184,8,0.9990256,0.0
13500,360.8888888888889,6.0159415e-05,54.02043,13500,0.8762464746832848,-0.00042283826,366,1458.111111111111,38.14649248123169,9,1.029514,0.0
15000,344.1,0.00011349271,45.251156,15000,0.9039087146520615,-0.0003869547,372,1462.3,42.17425012588501,10,1.0215933,0.0
16500,324.54545454545456,0.0005264493,55.334087,16500,0.9074588641524315,-0.0028704521,376,1465.7272727272727,46.16372799873352,11,1.0717361,0.0
18000,339.0,1.0691058e-05,27.054537,18000,0.9424126818776131,9.294041e-05,377,1456.25,50.13859724998474,12,0.89032197,0.0
19500,336.46153846153845,2.9455381e-05,42.590946,19500,0.8817195817828178,-0.00022031607,362,1459.6153846153845,54.27288365364075,13,1.0702066,0.0
21000,343.85714285714283,2.4395871e-05,32.76689,21000,0.9368882104754448,-0.0002846558,372,1462.5,58.30513596534729,14,1.0214207,0.0
22500,346.06666666666666,5.9670416e-05,37.179825,22500,0.9161037281155586,-0.00064973667,366,1465.0,62.39628982543945,15,0.9491153,0.0
24000,368.5625,3.3979354e-06,27.386154,24000,0.9207024052739143,-7.707074e-05,393,1467.1875,66.20979380607605,16,1.0167356,0.0
25500,386.94117647058823,3.130821e-05,28.129667,25500,0.9189894869923592,-0.00044560377,392,1469.1176470588234,70.03431630134583,17,1.0261457,0.0
27000,394.0,4.272047e-06,30.845125,27000,0.9412736967206001,-0.0001505067,384,1470.8333333333333,73.93976020812988,18,1.0148786,0.0
28500,398.0,3.6916295e-05,36.28736,28500,0.9175814986228943,-0.00038677984,390,1472.3684210526317,77.78260922431946,19,1.0312068,0.0
30000,409.6,3.2864216e-05,27.067055,30000,0.9482503645122051,-0.0002442558,387,1473.75,81.6514744758606,20,1.00545,0.0
31500,406.76190476190476,2.0799795e-05,37.435055,31500,0.9425403997302055,-0.00028473948,389,1475.0,85.50780606269836,21,0.9682705,0.0
33000,406.04545454545456,8.855135e-06,40.828823,33000,0.9080960676074028,-0.000125517,389,1469.1363636363637,89.36441922187805,22,0.98737365,0.0
34500,418.69565217391306,3.139771e-05,26.44064,34500,0.9184557273983955,-0.00028891506,386,1470.4782608695652,93.2462227344513,23,1.0365297,0.0
36000,423.0416666666667,4.9211107e-05,34.24705,36000,0.8994340822100639,-0.000407705,376,1471.7083333333333,97.23140263557434,24,1.0438669,0.0
37500,436.52,3.5879715e-05,29.013037,37500,0.9063067957758904,-0.00016514682,382,1472.84,101.15490412712097,25,1.057391,0.0
39000,450.65384615384613,6.839661e-05,19.8666,39000,0.9629491791129112,-0.0009686789,387,1473.8846153846155,105.02613568305969,26,1.0272762,0.0
40500,452.7037037037037,3.0197316e-06,33.65633,40500,0.944398820400238,-3.580239e-05,376,1470.962962962963,109.00689458847046,27,1.0254916,0.0
42000,449.9642857142857,2.55048e-06,32.343586,42000,0.9513663686811924,-3.8383758e-05,385,1463.107142857143,112.90293383598328,28,0.9703024,0.0
43500,448.41379310344826,1.223679e-05,25.645851,43500,0.9569439701735973,-8.9261615e-05,386,1459.344827586207,116.78799819946289,29,0.93031126,0.0
45000,442.06451612903226,5.452875e-05,31.306126,45000,0.9521698988974094,-0.0004681852,357,1446.258064516129,120.98503088951111,30,0.7959111,0.0
46500,453.71875,9.251511e-05,25.050743,46500,0.9316770806908607,-0.00060803513,390,1447.9375,124.82353806495667,31,1.039415,0.0
48000,460.8484848484849,3.7142006e-05,28.381554,48000,0.9213975071907043,-0.00021969361,392,1449.5151515151515,128.65063381195068,32,0.9912739,0.0
49500,472.29411764705884,0.00015823555,22.864712,49500,0.9412676766514778,-0.0006928082,372,1451.0,132.6824471950531,33,1.0225519,0.0
51000,480.0857142857143,0.00015710676,29.174335,51000,0.9036730006337166,-0.0008005996,384,1452.4,136.58312702178955,34,1.0987561,0.0
52500,477.5,4.667993e-05,23.384905,52500,0.9546621181070805,-0.0002844451,388,1445.4444444444443,140.44407176971436,35,0.7206535,0.0
54000,484.97297297297297,4.6279416e-05,26.094227,54000,0.9199735298752785,-0.0003638143,375,1446.918918918919,144.4365611076355,36,1.0207295,0.0
55500,478.6578947368421,6.7613296e-06,29.273968,55500,0.9131313115358353,-3.772825e-05,388,1433.5,148.29754304885864,37,0.9880646,0.0
57000,488.0769230769231,1.3938294e-05,25.311638,57000,0.9228295385837555,-0.00011420007,379,1434.6410256410256,152.24918389320374,38,1.1064324,0.0
58500,497.75,5.156713e-05,22.55324,58500,0.937938392162323,-0.0003105795,386,1436.275,156.13418555259705,39,1.0253072,0.0
60000,507.4390243902439,9.737538e-06,22.524979,60000,0.947875052690506,-0.00012164777,387,1437.8292682926829,160.00297951698303,40,0.99024653,0.0
61500,515.3333333333334,3.0810315e-05,23.43408,61500,0.9337511584162712,-0.00025595204,381,1439.3095238095239,163.93684148788452,41,1.0711436,0.0
63000,525.2325581395348,1.7214858e-05,24.819893,63000,0.9501804821193218,-0.00017026845,387,1440.7209302325582,167.8082947731018,42,1.0232291,0.0
64500,517.3555555555556,5.9928407e-06,44.188744,64500,0.9329301714897156,-4.5264685e-05,357,1429.8,172.00218224525452,43,0.85281664,0.0
