#{"t_start": 1532383788.752409, "env_id": "SetDown-v3"}
r,l,t
0,1501,4.972825
0,1501,8.846857
0,1501,12.884632
0,1501,16.81878
0,1501,20.657153
0,1501,24.543888
0,1501,28.480634
0,1501,32.47123
0,1501,36.311633
0,1501,40.150548
0,1501,44.341341
0,1501,48.221714
0,1501,52.202852
0,1501,56.253448
0,1501,60.173969
0,1501,64.053144
0,1501,67.917706
0,1501,71.879066
0,1501,75.844992
0,1501,79.712752
0,1501,83.666496
0,1501,87.523203
0,1501,91.405085
0,1501,95.370289
0,1501,99.272143
21.785376,1389,102.663942
0,1501,106.527446
0,1501,110.410252
7.27967,1396,114.042027
0,1501,117.954862
0,1501,122.048681
0,1501,125.966856
0,1501,129.861075
0,1501,133.789591
0,1501,137.612944
0,1501,141.478662
0,1501,145.307966
0,1501,149.216455
0,1501,153.229137
0,1501,157.103149
0,1501,160.954814
0,1501,164.924391
0,1501,168.959317
0,1501,173.03134
0,1501,177.04791
0,1501,180.959066
0,1501,185.024275
0,1501,188.925385
0,1501,192.993748
0,1501,196.989022
0,1501,200.981337
0,1501,204.967675
0,1501,208.873222
0,1501,212.749249
0,1501,216.725248
0,1501,220.70731
0,1501,224.601274
0,1501,228.447175
0,1501,232.377731
0,1501,236.373655
0,1501,240.300981
0,1501,244.289334
0,1501,248.179626
0,1501,252.036576
0,1501,255.928944
0,1501,259.856873
0,1501,263.84816
0,1501,267.721843
0,1501,271.75264
0,1501,275.678415
0,1501,279.563075
0,1501,283.434058
0,1501,287.557322
0,1501,291.451822
0,1501,295.542775
0,1501,299.533472
0,1501,303.50577
0,1501,307.698267
0,1501,311.981358
0,1501,316.166729
0,1501,320.190631
0,1501,324.151374
0,1501,328.016449
0,1501,331.97049
0,1501,335.834213
0,1501,339.758173
0,1501,343.664325
0,1501,347.486184
0,1501,351.334406
0,1501,355.213711
0,1501,359.167571
0,1501,363.382941
0,1501,367.233431
0,1501,371.148158
0,1501,375.112257
0,1501,378.99265
0,1501,382.832297
0,1501,386.648682
0,1501,390.46797
0,1501,394.343072
0,1501,398.170361
0,1501,401.990797
0,1501,405.886189
0,1501,409.718266
0,1501,413.544319
0,1501,417.360922
0,1501,421.254239
0,1501,425.223635
0,1501,429.088194
0,1501,433.0246
0,1501,436.876887
0,1501,440.86315
0,1501,444.912667
0,1501,448.744282
0,1501,452.713804
0,1501,456.577623
0,1501,460.459097
0,1501,464.270158
0,1501,468.193064
0,1501,472.097436
0,1501,476.006925
0,1501,479.903527
0,1501,483.738077
0,1501,487.623157
0,1501,491.479251
0,1501,495.368503
0,1501,499.443371
0,1501,503.329907
0,1501,507.19845
0,1501,511.0219
0,1501,514.906739
0,1501,518.77603
0,1501,522.675634
0,1501,526.711298
0,1501,530.57889
0,1501,534.399621
0,1501,538.24261
0,1501,542.092837
0,1501,545.878481
0,1501,549.797169
0,1501,553.623301
0,1501,557.59425
0,1501,561.556751
0,1501,565.415519
0,1501,569.303462
0,1501,573.183038
0,1501,577.107647
0,1501,580.930177
0,1501,584.952321
0,1501,588.788321
0,1501,592.631921
0,1501,596.44447
0,1501,600.246368
0,1501,604.088374
11.160194,1209,607.484849
0,1501,611.386297
0,1501,615.251653
0,1501,619.188685
0,1501,623.04323
0,1501,626.984144
0,1501,630.920954
0,1501,634.750932
0,1501,638.55725
0,1501,642.471459
0,1501,646.326813
0,1501,650.134579
0,1501,654.050043
0,1501,657.899164
0,1501,661.727414
0,1501,665.769269
0,1501,669.941109
0,1501,673.796931
0,1501,677.618745
0,1236,681.003901
0,1501,684.926649
0,1501,688.730764
0,1501,692.677973
0,1501,696.515438
0,1501,700.367943
0,1501,704.199412
0,1501,708.124167
0,1501,711.999835
0,779,714.319843
0,1501,718.301106
0,1501,722.155427
0,1501,725.974011
0,1501,729.831213
0,1501,733.689003
0,626,735.399267
0,1501,739.362586
0,1260,742.705014
0,1501,746.55548
0,634,748.290464
12.268624,1124,751.383418
0,1081,754.369985
0,1501,758.216841
0,1501,762.116187
0,1501,765.964776
0,1501,769.813165
0,1501,773.734002
0,1501,777.626923
0,1152,780.77687
0,851,783.067704
0,959,785.770771
0,765,787.818776
0,1501,791.667338
0,791,794.016968
0,1501,797.865815
0,1501,801.773705
0,1501,805.64691
0,968,808.123811
0,1353,811.764805
0,1501,815.625615
0,1501,819.426421
0,1501,823.34956
0,1501,827.443686
0,1501,831.280539
0,1501,835.109763
0,1501,838.921122
0,1501,842.726544
0,1501,846.715657
0,873,849.30945
0,1501,853.307014
0,1001,856.147388
0,1501,860.075478
0,1501,864.080785
0,1007,866.638804
0,1501,870.475674
0,1501,874.373548
0,1501,878.252854
0,1501,882.192941
0,772,884.555142
0,947,886.995965
0,987,889.946801
0,872,892.488847
0,1501,896.315466
0,1000,898.849413
0,1501,902.723673
0,1501,906.595708
0,1501,910.460745
0,1118,913.591867
0,1501,917.516408
0,1501,921.444863
0,1501,925.381638
0,1501,929.174724
0,1040,932.053397
0,1501,935.867589
0,1501,939.77082
0,1501,943.657771
