eplenmean,policy_entropy,total_timesteps,eprewmean,value_loss,clipfrac,nupdates,serial_timesteps,approxkl,fps,explained_variance,policy_loss,time_elapsed
1500.0,1.0258378,1500,850.075356,22.068672,0.07073331,1,1500,0.0050953776,324,0.961132075637579,-0.003411726,4.619542121887207
1500.0,1.0387983,3000,778.326711,21.678028,0.06626664,2,3000,0.0048747365,348,0.9659779369831085,-0.0036175956,8.929843664169312
1500.0,0.94460714,4500,901.145383,19.64716,0.028999992,3,4500,0.0017717464,353,0.9457753598690033,-0.002423173,13.169494390487671
1500.0,0.9944945,6000,850.528924,19.286457,0.11346665,4,6000,0.007359154,352,0.9643801748752594,-0.0036795724,17.43071484565735
1500.0,0.9646949,7500,892.771139,19.752172,0.021066664,5,7500,0.0011959231,341,0.9468030035495758,-0.0018702645,21.82790231704712
1500.0,0.91065156,9000,863.333589,19.125797,0.006466666,6,9000,0.0011682207,335,0.9563603959977627,-0.001149074,26.29793429374695
1500.0,0.9222692,10500,834.91091,24.045385,0.056199975,7,10500,0.0054172836,353,0.9244429543614388,-0.006457984,30.538983583450317
1500.0,0.9521937,12000,967.543222,18.620588,0.026266659,8,12000,0.0041711885,347,0.9466107562184334,-0.002984183,34.853941440582275
919.0,0.48278713,13500,443.567703,15.9651575,0.009466667,9,13500,0.001210777,342,0.9746903721243143,-0.0011729179,39.23504281044006
810.0,0.8801924,15000,435.205692,16.083456,0.025666656,10,15000,0.0023773378,320,0.9677277728915215,-0.007366597,43.92027926445007
1178.0,0.6651477,16500,611.646751,4.1677217,0.08273329,11,16500,0.005560753,345,0.9930911026895046,-0.00565141,48.25905752182007
1500.0,0.9698393,18000,771.800595,19.987154,0.13259998,12,18000,0.007094616,344,0.9659326784312725,-0.00417836,52.60896563529968
861.0,0.7406105,19500,442.362021,11.274258,0.018666662,13,19500,0.0015769218,341,0.9739779494702816,-0.0026987996,57.00095176696777
950.0,0.6230822,21000,428.978946,20.432375,0.0017999997,14,21000,0.0016998132,319,0.9654890671372414,-0.0012901467,61.69496440887451
1123.0,0.7809592,22500,406.652071,23.352314,0.035399985,15,22500,0.0034441515,353,0.955320455133915,-0.003845696,65.93536567687988
678.0,0.6132553,24000,306.549944,35.910027,0.019599998,16,24000,0.0013738349,324,0.9360942244529724,-0.004062524,70.56297850608826
734.0,0.34951875,25500,227.387443,26.8255,0.005599999,17,25500,0.0011339827,319,0.9479863308370113,-0.0012735521,75.25621271133423
706.0,0.8156665,27000,163.890505,21.245316,0.023133332,18,27000,0.0020630597,317,0.9554567188024521,-0.001621307,79.97527647018433
831.0,0.485471,28500,292.331218,19.772697,0.03353332,19,28500,0.0025701083,317,0.9638632535934448,-0.004538947,84.6994001865387
839.0,0.44237614,30000,318.214456,3.1932175,0.012933328,20,30000,0.0014921704,350,0.9940847065299749,-0.0015688196,88.978022813797
840.0,0.80465263,31500,326.609047,7.5262575,0.025866663,21,31500,0.0031084209,318,0.9879678608849645,-0.0029553825,93.68255019187927
800.0,0.5992973,33000,477.739227,28.749737,0.007533333,22,33000,0.0020878226,318,0.95109598711133,-0.0011436671,98.39294481277466
761.0,0.6529472,34500,371.183882,4.0979643,0.033866655,23,34500,0.0027155725,353,0.9923984543420374,-0.005294855,102.63679885864258
880.0,0.5552155,36000,465.120883,14.247576,0.032933325,24,36000,0.0023420113,326,0.9731949456036091,-0.0037692192,107.2370593547821
797.0,0.76466155,37500,280.269717,21.57042,0.0076,25,37500,0.0015345252,317,0.957544632256031,-0.0031567204,111.96262168884277
987.0,0.75927943,39000,640.421673,17.022589,0.0,26,39000,0.0010436638,345,0.9587964713573456,-0.0004684349,116.30994296073914
