#{"env_id": "SetDown-v3", "t_start": 1532425239.3616297}
r,l,t
8.483632,1500,4.524334
7.801589,1500,8.550712
8.923724,1500,12.350831
8.300832,1500,16.193931
8.595905,1500,20.032901
8.341546,1500,23.870145
9.303974,1500,27.695687
9.09747,1500,31.484962
7.924843,1500,35.403501
8.336196,1500,39.219074
8.547064,1500,43.066541
7.852362,1500,46.908296
7.619174,1500,50.769254
7.636947,1500,54.663419
7.853819,1500,58.500661
7.703747,1500,62.285291
7.716957,1500,66.129245
7.972908,1500,69.934065
8.082612,1500,73.792198
7.156471,1500,77.675518
8.598696,1500,81.499362
8.955445,1500,85.306674
8.645465,1500,89.097807
8.258209,1500,92.926606
7.833567,1500,96.80666
8.362242,1500,100.630235
8.749011,1500,104.571503
8.4936,1500,108.393759
9.184269,1500,112.313373
9.075849,1500,116.112752
8.413633,1500,119.952497
7.702506,1500,123.819646
8.391926,1500,127.654026
7.46476,1500,131.536545
7.536261,1500,135.403168
8.580891,1500,139.274968
8.3699,1500,143.113353
8.137586,1500,146.921688
6.347336,1500,150.865674
7.334976,1500,154.717399
8.165709,1500,158.53077
6.401449,1500,162.386588
4.409853,1500,166.313327
2.311132,1500,170.189883
7.138872,1500,174.093372
4.475277,1500,177.921701
5.266249,1500,181.847311
4.854665,1500,185.724883
3.572762,1500,189.545696
4.00801,1500,193.429541
4.473793,1500,197.322357
0.478465,1500,201.243489
0,1500,205.17402
0.37781,1500,208.995235
0,1500,212.804212
0,1500,216.690634
2.526419,1500,220.493448
0,1500,224.3891
0.561785,1500,228.215208
0,1500,232.228278
0,1500,236.079906
0,1500,239.918085
0,1500,243.73238
0,1500,247.575782
0,1500,251.443782
0,1500,255.381644
0,1500,259.456362
0,1500,263.322892
0,1500,267.20811
0,1500,271.092753
0,1500,274.935372
0,1500,278.84359
0,1500,283.179799
0,1500,286.978724
0,1500,290.918771
0,1500,294.841908
0,1500,298.716598
0,1500,302.765975
0,1500,306.613721
0,1500,310.433052
0,1500,314.25043
0,1500,318.121188
0,1500,322.102763
0,1500,325.952259
0,1500,329.936027
0,1500,334.19726
0,1500,338.22862
0,1500,342.071939
0,1500,345.968933
0,1500,350.323526
0,1500,354.227586
0,1500,358.127459
0,1500,362.03989
0,1500,365.863915
0,1500,369.7609
0,1500,373.598673
0,1500,377.689185
0,1500,381.553632
0,1500,385.387867
0,1500,389.462479
0,1500,393.889409
0,1500,397.781695
0,1500,401.846381
0,1500,406.072131
0,1500,410.258029
0,1500,414.331995
0,1500,418.409873
0,1500,422.752598
0,1500,426.597858
0,1500,430.441316
0,1500,434.717564
0,1500,438.771741
0,1500,442.696708
0,1500,446.747925
0,1500,450.776269
0,1500,454.818976
0,1500,458.903716
0,1500,463.067425
0.015132,1500,467.029744
0,1500,471.054377
0,1500,475.113709
0,1500,479.096776
0,1500,483.163917
0,1500,487.00429
0.091297,1500,491.244392
0,1500,495.39268
0,1500,499.713346
0,1500,503.733928
0.449496,1500,507.958846
0,1500,511.887266
0,1500,515.77187
0,1500,519.732633
0.23754,1500,523.705437
0,1500,527.619282
1.080459,1500,531.599071
0,1500,535.509506
0,1500,539.518306
0,1500,543.36195
0.228187,1500,547.201333
0,1500,551.120494
0.120512,1500,555.106992
0.045124,1500,559.06191
0,1500,563.061402
0,1500,567.072065
0,1500,570.952606
0,1500,574.804777
0,1500,578.712357
0.121627,1500,582.747266
0.146496,1500,586.783299
1.581004,1500,591.131724
0.527225,1500,595.418719
1.353367,1500,599.381817
0.392351,1500,603.270287
0,1500,607.149829
0.317458,1500,611.126158
10.147473,1483,614.990477
0.722527,1500,619.04283
0,1500,623.005369
0,1500,626.916959
0,1500,630.782057
0.113846,1500,634.596788
0,1500,638.443329
0.082818,1500,642.260016
0.115703,1500,646.18645
0,1500,650.160184
0,1500,654.035377
0,1500,657.920065
0.121099,1500,661.879642
0.442969,1500,665.792084
0.767528,1500,669.717246
0.434812,1500,673.678072
0,1500,677.580902
0.169604,1500,681.641687
10,1187,684.993414
0.128656,1500,688.925428
0,1500,692.830234
0.16953,1500,696.863782
0,1500,700.740665
0,1500,704.808985
0,1500,708.763669
0,1500,712.679176
0,1500,716.704842
0,1500,720.664838
0,1500,724.534534
0,1500,728.374914
0,1500,732.35525
0.12108,1500,736.297584
0,1500,740.173782
0.234633,1500,744.069831
0,1500,747.926917
0,1500,751.876734
0.189646,1500,755.839233
0,1500,759.682817
0,1500,763.657829
0,1500,767.701719
0,1500,771.718882
0,1500,775.635646
0,1500,779.509931
0,1500,783.43935
0,1500,787.375823
0,1500,791.276863
0,1500,795.185793
0,1500,799.285808
0,1500,803.190503
0,1500,807.119293
0,1500,810.988275
0,1500,814.868838
0,1500,818.764974
