approxkl,fps,serial_timesteps,eprewmean,value_loss,total_timesteps,policy_loss,eplenmean,clipfrac,time_elapsed,policy_entropy,nupdates,explained_variance
0.0093255,353,1500,8.483632,84.09011,1500,-0.0034044834,1500.0,0.14346667,4.246573209762573,1.0446868,1,0.9034754633903503
0.0061185337,391,3000,7.801589,64.03367,3000,-0.0007727229,1500.0,0.0749333,8.088867425918579,1.0256773,2,0.9074181616306305
0.014955005,394,4500,8.923724,80.49612,4500,-0.005709604,1500.0,0.14380004,11.887924194335938,0.9624186,3,0.8729589581489563
0.00866389,391,6000,8.300832,60.83171,6000,-0.0007594677,1500.0,0.15166667,15.720024824142456,1.0135628,4,0.9034701362252235
0.007151591,389,7500,8.595905,65.322525,7500,-0.00057323906,1500.0,0.10680001,19.574841260910034,1.0213234,5,0.8737079054117203
0.010730624,391,9000,8.341546,56.14261,9000,-0.0059784,1500.0,0.19960007,23.409998416900635,0.9306298,6,0.8887753039598465
0.01298921,392,10500,9.303974,57.15314,10500,-0.00091874314,1500.0,0.18400003,27.235716581344604,0.96451986,7,0.8528615981340408
0.005726667,391,12000,9.09747,49.58455,12000,-0.0014596157,1500.0,0.0753333,31.063171863555908,1.0105349,8,0.8623685985803604
0.009273036,386,13500,7.924843,24.484846,13500,-0.002787722,1500.0,0.13266668,34.945836305618286,0.9780703,9,0.9183160960674286
0.011167445,393,15000,8.336196,24.203272,15000,-0.007987843,1500.0,0.20913333,38.75914192199707,1.0490383,10,0.9204461947083473
0.011424742,389,16500,8.547064,36.617725,16500,-0.0031244084,1500.0,0.16179997,42.61319613456726,0.97076744,11,0.871333971619606
0.010337112,389,18000,7.852362,18.512165,18000,-0.0057402416,1500.0,0.13473333,46.46877455711365,1.0552719,12,0.9131959825754166
0.0077140545,389,19500,7.619174,19.35354,19500,-0.0024985394,1500.0,0.09646667,50.31856179237366,1.0367737,13,0.9078142493963242
0.008018273,385,21000,7.636947,16.208473,21000,-0.004115929,1500.0,0.11659997,54.20551300048828,0.9828121,14,0.8901846185326576
0.013721537,392,22500,7.853819,22.098484,22500,-0.002392372,1500.0,0.13526666,58.02914619445801,0.9919714,15,0.850804939866066
0.01895516,396,24000,7.703747,13.289565,24000,-0.013535317,1500.0,0.20286667,61.81268310546875,0.9790502,16,0.8946621716022491
0.011394207,390,25500,7.716957,15.14152,25500,-0.0025801458,1500.0,0.17199999,65.65950322151184,1.0615396,17,0.8968821614980698
0.008322763,393,27000,7.972908,15.166989,27000,0.00064008526,1500.0,0.13086665,69.47137522697449,1.059598,18,0.8608052581548691
0.008723008,388,28500,8.082612,11.442915,28500,-0.0036824215,1500.0,0.13506672,73.33264303207397,1.0185659,19,0.8576338440179825
0.015445425,385,30000,7.156471,5.813852,30000,-0.010892052,1500.0,0.17793334,77.22114276885986,1.1149836,20,0.8974619880318642
0.028554754,393,31500,8.598696,10.068177,31500,-0.0059593753,1500.0,0.2702665,81.03004240989685,1.1299994,21,0.8363994657993317
0.009822892,394,33000,8.955445,8.222601,33000,-0.0018688149,1500.0,0.14860001,84.83561944961548,1.1299971,22,0.7987930029630661
0.021023212,394,34500,8.645465,6.6403685,34500,-0.0034598387,1500.0,0.29246673,88.64247226715088,1.0890275,23,0.8400359153747559
0.016130963,393,36000,8.258209,5.146315,36000,-0.006080353,1500.0,0.22366665,92.457275390625,1.0466483,24,0.8393152505159378
0.009328661,386,37500,7.833567,3.0589297,37500,-0.006858511,1500.0,0.15593332,96.3415629863739,1.0451127,25,0.8796658664941788
