serial_timesteps,total_timesteps,value_loss,time_elapsed,nupdates,clipfrac,fps,policy_loss,explained_variance,policy_entropy,approxkl,eprewmean,eplenmean
1500,1500,22.159346,4.232936382293701,1,0.013666668,354,-0.0012504369,0.9609980322420597,1.0550373,0.0014008188,849.370602,1500.0
3000,3000,21.327978,8.325699806213379,2,0.08186664,367,-0.0053621163,0.9669220894575119,1.0381343,0.005071048,774.148186,1500.0
4500,4500,19.763775,12.64990496635437,3,0.026466658,346,-0.0033272253,0.9462729282677174,0.9244096,0.0039224457,888.358773,1500.0
6000,6000,20.583733,16.740976810455322,4,0.09319999,366,-0.0039850324,0.9632144756615162,1.0010072,0.0066681798,850.382968,1500.0
7500,7500,19.911531,20.868449449539185,5,0.0044000004,363,-0.0018472188,0.9452190473675728,0.93958586,0.0018821647,887.27643,1500.0
9000,9000,2.5142436,24.847752332687378,6,0.012666665,376,-0.003310249,0.9948317417874932,0.681627,0.001958653,688.581401,1223.0
10500,10500,22.63669,28.70771050453186,7,0.056199983,388,-0.0053867893,0.9324078559875488,0.8991598,0.005654175,871.176295,1500.0
12000,12000,18.087044,32.89487051963806,8,0.09626662,358,-0.008512481,0.9619316942989826,0.96360284,0.0075974013,961.46872,1500.0
13500,13500,3.1246536,36.75490069389343,9,0.0002,388,-0.00060946395,0.9945837948471308,0.66592354,0.00036982354,425.8459,1005.0
15000,15000,32.800488,40.6227912902832,10,0.010999999,387,-0.0022642268,0.9385565482079983,0.971735,0.0017674256,947.56822,1398.0
16500,16500,1449104.8,44.90611672401428,11,0.0042666662,350,-0.0016462796,0.0017448067665100098,0.57343954,0.00052920845,467.30325,1015.0
18000,18000,14.0854845,49.713311433792114,12,0.02979999,312,-0.0042962916,0.9826125763356686,0.5845915,0.0029166704,431.482583,832.0
19500,19500,6.519655,53.70211386680603,13,0.005333333,376,-0.0023028343,0.9875080455094576,0.5598611,0.0014760498,285.56363,869.0
21000,21000,2.2471464,58.22329568862915,14,0.009066664,331,-0.0015002538,0.9962515577208251,0.59591055,0.0012696538,379.9007,678.0
