serial_timesteps,fps,policy_entropy,value_loss,eplenmean,approxkl,explained_variance,eprewmean,policy_loss,clipfrac,time_elapsed,total_timesteps,nupdates
1500,352,1.0572454,21.741379,1500.0,0.0019418787,0.9621301181614399,847.038328,-0.0010558512,0.018,4.25412917137146,1500,1
3000,374,1.0418571,21.346853,1500.0,0.006461224,0.9668945595622063,768.59419,-0.0043085,0.10786667,8.271886825561523,3000,2
4500,394,0.9301761,20.557777,1500.0,0.0047744764,0.9425276964902878,894.035141,-0.0024672216,0.03973332,12.074322700500488,4500,3
6000,395,0.8455559,19.241955,1291.0,0.00050877605,0.9690064061433077,672.128695,-0.0012034295,0.0,15.871711730957031,6000,4
7500,394,0.9349559,20.532116,1500.0,0.0014337093,0.9482214003801346,874.585312,-0.0017870248,0.017733337,19.672293663024902,7500,5
9000,381,0.88858336,18.821945,1500.0,0.0019285849,0.9539112001657486,868.935965,-0.0036500543,0.010533334,23.601555585861206,9000,6
10500,393,0.9419939,25.453588,1500.0,0.0001728216,0.9224432855844498,842.32217,-0.00020910898,0.0,27.416599988937378,10500,7
12000,392,0.9703892,19.13676,1500.0,0.0025015778,0.9552811346948147,951.30838,-0.000515532,0.011199997,31.23836636543274,12000,8
13500,389,0.9479511,19.818249,1500.0,0.0020150514,0.9663566499948502,777.230486,-0.0011741144,0.018466668,35.091620445251465,13500,9
15000,389,0.9838107,10.662157,1436.0,0.0038062176,0.9802691210061312,812.470582,-0.0029153905,0.04439999,38.93917727470398,15000,10
16500,377,0.882177,19.215858,1500.0,0.0031220824,0.9608530402183533,865.311899,-0.0012768498,0.024599997,42.91131520271301,16500,11
18000,391,1.0193244,17.789625,1500.0,0.00037807893,0.9665629416704178,804.51966,-0.00076038187,0.0,46.74465727806091,18000,12
19500,395,1.0359122,18.824059,1500.0,0.0007299337,0.9665326662361622,780.46874,-0.0001485462,0.0012000002,50.53765034675598,19500,13
21000,386,0.92329425,6.497618,1488.0,0.002738551,0.9879888435825706,896.800345,-0.0023803427,0.026333325,54.42116403579712,21000,14
22500,393,0.67964417,46.104504,1168.0,0.0014907878,0.9265728294849396,760.763352,-0.0010490265,0.005933333,58.22912406921387,22500,15
24000,363,0.9998314,19.308727,1408.0,0.00346387,0.9660424776375294,510.184306,-0.002358525,0.017466659,62.354381799697876,24000,16
25500,388,0.9799039,19.339218,1500.0,0.00038383927,0.9595747478306293,842.085891,-0.0007058342,0.0,66.21505999565125,25500,17
27000,387,0.82087564,5.369202,1071.0,0.0054794983,0.9866065736860037,521.962953,-0.006039911,0.049199983,70.08565735816956,27000,18
