nupdates,serial_timesteps,time_elapsed,fps,value_loss,policy_entropy,approxkl,explained_variance,policy_loss,total_timesteps,eprewmean,eplenmean,clipfrac
1,1500,4.1395018100738525,362,21.868685,1.0504682,0.0025686284,0.9615262001752853,-0.0015146766,1500,847.771645,1500.0,0.027000004
2,3000,8.146057367324829,375,21.563694,1.0403022,0.0042386805,0.9665454514324665,-0.004823858,3000,766.042694,1500.0,0.07293331
3,4500,12.078514337539673,381,19.968224,0.9338299,0.0045302087,0.9448781087994576,-0.0029583885,4500,898.751579,1500.0,0.04446665
4,6000,15.964353322982788,386,43.190346,1.041293,0.0015076238,0.925397090613842,-0.0015638685,6000,745.086539,1500.0,0.0062666656
5,7500,19.78827953338623,392,20.54569,0.990214,0.0022697144,0.9457372054457664,-0.0016152672,7500,883.747912,1500.0,0.018466668
6,9000,23.596354722976685,393,18.911013,0.89797163,0.0010836917,0.9578603319823742,-0.0011774857,9000,861.686505,1500.0,0.0036666659
7,10500,27.56444263458252,378,53.381725,0.9402085,0.0030630222,0.8521692454814911,-0.0027047226,10500,745.718848,1500.0,0.021666665
8,12000,31.373697996139526,393,19.157347,0.95563143,0.0052060895,0.9463782347738743,-0.0033094098,12000,951.823706,1500.0,0.04519998
9,13500,35.362168073654175,376,902.7383,0.96816576,0.0013805443,0.4551542401313782,-0.0009149074,13500,1419.557455,1500.0,0.0051333327
10,15000,39.4060754776001,370,599.1208,0.8819989,0.002824642,0.5724089741706848,-0.0019916182,15000,1268.939678,1378.0,0.027199993
11,16500,43.18147039413452,397,269.21454,0.8544191,0.0044613304,0.6512598395347595,-0.0009212387,16500,1252.027778,1500.0,0.047999993
12,18000,47.09818649291992,383,241.27592,0.62638676,0.0012422046,0.6979717314243317,-0.0014758147,18000,474.955317,1051.0,0.0041999994
13,19500,51.14508390426636,370,120.13743,0.89117974,0.003993691,0.8471681773662567,-0.0028633317,19500,578.368265,1047.0,0.038533315
14,21000,55.40172505378723,352,446.1623,0.7904078,0.0008912989,0.5806098282337189,-0.0027432365,21000,1031.262433,1332.0,0.0035333333
15,22500,59.43739676475525,371,49.852837,0.5940758,0.0014706445,0.9141070321202278,-0.00081931223,22500,484.647001,859.0,0.0071333344
16,24000,63.995336294174194,329,10991.831,0.5482984,0.0008051738,0.11719387769699097,-0.0010202162,24000,2160.547159,774.0,0.005
17,25500,68.0919086933136,366,72.7477,0.8805381,0.002534802,0.8808362483978271,-0.0014297992,25500,588.15619,1152.0,0.023533333
18,27000,72.5665671825409,335,4577.004,0.7684501,0.00090190367,0.21503853797912598,-0.0031897307,27000,1778.656896,1048.0,0.008200001
19,28500,76.54847478866577,376,3521.6235,0.6297483,0.0017978069,0.1604209542274475,-0.0023523897,28500,1402.350942,842.0,0.019399997
20,30000,80.45099139213562,384,285.8057,0.8522799,0.0013371314,0.6689726710319519,0.00023586607,30000,1068.612017,1303.0,0.0019333331
21,31500,84.78931331634521,345,162.81035,0.6580642,0.0009566019,0.8148704320192337,-0.0019778847,31500,688.617069,1091.0,0.010533332
