nupdates,total_timesteps,approxkl,policy_loss,value_loss,eplenmean,explained_variance,fps,serial_timesteps,eprewmean,time_elapsed,clipfrac,policy_entropy
1,2048,0.012544466,-0.005848948,121.527466,974.0,0.8818992376327515,314,2048,139.5,6.516685962677002,0.1294922,0.7600801
2,4096,0.009109615,-0.0030106872,101.07915,1149.6666666666667,0.7912430167198181,361,4096,93.0,12.19786787033081,0.085351564,1.3332399
3,6144,0.0064639845,0.0018660842,103.21422,1237.5,0.7435374855995178,329,6144,69.75,18.422188758850098,0.068310544,1.443887
4,8192,0.0074572475,-0.0039278967,96.948814,1325.3333333333333,0.7391541600227356,342,8192,46.5,24.398857831954956,0.12636718,1.3025178
5,10240,0.0050464827,-8.58426e-05,44.201065,1350.4285714285713,0.5229196548461914,359,10240,93.85714285714286,30.09811806678772,0.050732423,1.348346
6,12288,0.0041952385,-0.004568614,57.239265,1306.3333333333333,0.7900971323251724,343,12288,99.44444444444444,36.057427167892456,0.05625,1.1106832
7,14336,0.0057288897,-0.0012048851,54.52769,1285.6363636363637,0.7870204746723175,338,14336,111.9090909090909,42.100215673446655,0.05332031,1.0692832
8,16384,0.010650323,0.0012233669,54.137787,1244.5,0.7458458542823792,338,16384,102.58333333333333,48.14843416213989,0.098925784,1.1975598
9,18432,0.014159906,-0.00035861979,45.76736,1281.142857142857,0.8012110739946365,330,18432,87.92857142857143,54.33992648124695,0.15966797,1.2324181
10,20480,0.008317163,-3.0465028e-05,40.400414,1295.8,0.8300730735063553,365,20480,82.06666666666666,59.93808197975159,0.08876953,1.2622049
11,22528,0.0051092985,-0.0009424876,34.372612,1277.5294117647059,0.8464879244565964,337,22528,117.47058823529412,66.01349329948425,0.029736329,1.0229547
12,24576,0.0043404745,-8.2615494e-05,32.630447,1289.9444444444443,0.8598943203687668,361,24576,110.94444444444444,71.67865633964539,0.047558594,1.1995677
13,26624,0.011951006,-0.006842536,27.498117,1311.05,0.8266835808753967,346,26624,127.25,77.58769273757935,0.13295898,1.2601478
14,28672,0.013306635,0.0005614014,48.53542,1320.095238095238,0.7094395756721497,342,28672,121.19047619047619,83.5676646232605,0.14140625,1.1530788
15,30720,0.012251624,0.00053810794,74.59183,1328.3181818181818,0.9186167791485786,350,30720,118.54545454545455,89.40878343582153,0.14667968,0.93771476
16,32768,0.010437812,-0.0014676288,21.65601,1342.7083333333333,0.669604629278183,351,32768,110.54166666666667,95.23879337310791,0.09951172,1.295042
17,34816,0.01261087,0.00023705527,18.281893,1349.04,0.6986133456230164,368,34816,106.12,100.79275965690613,0.20922852,1.4695364
18,36864,0.0064562336,-0.00044044884,28.43714,1349.1851851851852,0.7862661629915237,312,36864,98.25925925925925,107.34702181816101,0.0690918,0.8466878
19,38912,0.004156893,-0.0026247432,20.682156,1341.4285714285713,0.853931799530983,325,38912,103.82142857142857,113.6300265789032,0.033691406,1.2929093
20,40960,0.010574587,0.00012821643,18.157444,1336.5,0.8964937180280685,308,40960,108.33333333333333,120.26125121116638,0.13339844,0.79387087
21,43008,0.021108607,0.0006216285,4.739844,1341.8064516129032,0.5951379835605621,320,43008,104.83870967741936,126.64490032196045,0.2319336,0.57289064
22,45056,0.005638735,-0.0013730389,18.63461,1338.0,0.8930564746260643,328,45056,107.21212121212122,132.8705334663391,0.048046876,0.85503066
23,47104,0.007083734,-0.0035770151,27.587292,1318.6571428571428,0.8777027428150177,321,47104,108.4,139.24802660942078,0.08676758,1.1080203
24,49152,0.00908307,-0.0024471425,10.91236,1323.7222222222222,0.7677619457244873,374,49152,105.38888888888889,144.71240210533142,0.12919922,1.4413531
25,51200,0.006429501,-0.0031829341,14.421974,1323.3947368421052,0.8752758353948593,339,51200,108.78947368421052,150.75370907783508,0.054248046,1.1121533
26,53248,0.01211637,0.0001812435,4.614201,1327.948717948718,0.8308543413877487,333,53248,106.0,156.9005823135376,0.15395507,0.85234165
27,55296,0.0064972886,-0.0024875663,13.68,1323.7073170731708,0.8892103135585785,325,55296,108.21951219512195,163.19040632247925,0.080029294,1.1394424
28,57344,0.008881349,-0.0018912557,3.2502246,1331.953488372093,0.8028156608343124,324,57344,104.06976744186046,169.50838136672974,0.11772461,0.75690526
29,59392,0.007887348,-0.0015411926,17.296766,1335.7954545454545,-0.1868598461151123,355,59392,109.3409090909091,175.27055382728577,0.099853516,1.3410032
30,61440,0.0073532476,-0.007986188,19.196712,1335.8444444444444,0.46011871099472046,326,61440,115.91111111111111,181.53485488891602,0.101708986,0.8390199
31,63488,0.015061101,0.0029998992,1.1580455,1342.872340425532,0.7890811711549759,311,63488,110.97872340425532,188.1003098487854,0.17426758,0.64517796
32,65536,0.004456195,-0.0020439953,32.594246,1333.5714285714287,0.2543424963951111,329,65536,120.14285714285714,194.316508769989,0.027246093,1.1752843
