fps,policy_loss,explained_variance,clipfrac,time_elapsed,approxkl,total_timesteps,policy_entropy,serial_timesteps,value_loss,eplenmean,nupdates,eprewmean
750,-0.0025270765,0.018695712089538574,0.06556396,21.833844423294067,0.010524727,16384,1.5991939,2048,0.02255396,1500.0,1,1.25
797,-0.0023882464,-0.010388731956481934,0.04434204,42.37935471534729,0.0081623085,32768,1.5884831,4096,0.46079785,1500.0,2,10.0625
727,-0.0025155444,0.5603525340557098,0.03966675,64.89085578918457,0.00674567,49152,1.595741,6144,0.007852427,1500.0,3,5.3125
828,-0.0047137686,0.748340517282486,0.08997192,84.66289329528809,0.008874842,65536,1.5867568,8192,0.00052611897,1500.0,4,4.25
825,-0.0025127009,0.6717656254768372,0.025183106,104.51300001144409,0.005742057,81920,1.5826519,10240,0.0002895496,1500.0,5,3.5416666666666665
756,-0.0038235956,0.7333146929740906,0.05041504,126.16854310035706,0.0063408874,98304,1.5892609,12288,0.00011882475,1500.0,6,2.65625
790,-0.0050883135,0.7270152270793915,0.08181763,146.89786028862,0.007872374,114688,1.5762694,14336,7.286806e-05,1500.0,7,2.361111111111111
611,-0.0015605697,-0.003968238830566406,0.03670044,173.68803596496582,0.0060292007,131072,1.5746868,16384,2.744577,1500.0,8,3.2
746,-0.001985894,0.028185904026031494,0.044128418,195.6460087299347,0.0063031837,147456,1.5507439,18432,3.1764367,1500.0,9,18.697916666666668
820,-0.002148256,0.06711375713348389,0.036584474,215.62605237960815,0.0068774573,163840,1.5545776,20480,9.108812,1500.0,10,33.08653846153846
734,-0.0010561966,0.045310378074645996,0.03364868,237.93989515304565,0.005067508,180224,1.5364296,22528,7.888395,1500.0,11,44.1
830,-0.00219483,0.09137815237045288,0.04547119,257.65758752822876,0.005698769,196608,1.570615,24576,3.0452278,1500.0,12,48.28125
823,-0.0018478499,0.2745857238769531,0.025720214,277.5644705295563,0.00450659,212992,1.5466055,26624,0.39083865,1500.0,13,47.220588235294116
758,-0.0017337932,0.15677279233932495,0.025531005,299.1716299057007,0.0053973673,229376,1.5458757,28672,2.457295,1500.0,14,46.9078947368421
816,-0.0004878124,0.23035061359405518,0.005279541,319.2335512638092,0.0030220044,245760,1.5533707,30720,1.6040127,1500.0,15,48.39375
801,-0.0009148087,0.299052894115448,0.03769531,339.68441915512085,0.0059002903,262144,1.560371,32768,1.1491164,1500.0,16,48.19047619047619
