#{"t_start": 1534273742.28561, "env_id": "SetDown-v3"}
r,l,t
0,1500,20.86396
15,1500,39.560236
0,1500,57.046123
0,1500,75.002173
0,1500,93.024872
0,1500,111.874137
0,1500,130.438113
0,1500,154.142061
0,1500,172.095885
0,1500,190.304736
0,1500,209.009916
0,1500,227.491281
0,1500,249.132109
0,1500,271.163777
0,1500,287.894093
0,1500,306.173109
0,1500,324.196239
9,1500,341.759893
0,1500,367.155217
0,1500,388.618288
0,1500,408.182229
74,1500,425.642354
0,1500,443.44513
0,1500,460.753972
0,1500,478.310414
0,1500,496.285452
0,1500,513.988577
0,1500,531.34197
0,1500,548.324896
0,1500,565.366529
0,1500,588.596889
0,1500,606.205915
0,1500,623.753491
0,1500,640.922806
0,1500,658.361938
0,1500,675.787104
32,1500,699.300599
0,1500,716.539715
0,1500,734.349828
0,1500,756.611223
0,1500,775.781484
281,1500,795.687028
140,1500,821.203816
0,1500,840.291317
0,1500,859.676873
0,1500,878.838408
0,1500,897.996569
0,1500,917.70593
0,1217,940.421998
0,1500,958.576588
0,1500,977.06109
0,1461,999.769452
0,1500,1020.006731
0,1500,1041.119188
34,1500,1061.049078
402,1279,1081.029077
0,1500,1099.600909
0,1420,1117.957929
0,1500,1137.778215
16,1500,1157.300643
94,1500,1178.074745
47,1500,1198.418768
0,1361,1215.973472
3,1500,1235.080132
23,1500,1253.23273
442,1496,1274.648861
106,1500,1295.971228
483,1500,1318.418528
108,1500,1338.784901
0,1402,1357.534479
36,1500,1378.659193
0,1500,1397.894807
138,1500,1417.604767
24,1500,1437.383605
0,969,1449.754047
0,1500,1469.05052
0,1500,1488.156487
0,1500,1507.532958
0,1500,1530.834629
0,1500,1552.659838
0,1500,1574.288823
0,1500,1594.031396
0,1500,1614.117329
0,1500,1633.830086
0,1500,1653.696864
0,1500,1673.606132
0,1500,1693.79611
191,1500,1716.201495
0,1500,1736.988631
0,1500,1756.769765
0,1500,1781.758113
0,1500,1801.320178
0,1500,1822.30396
0,1500,1842.499799
0,1500,1862.835974
0,1500,1882.556163
0,1500,1901.809783
0,1500,1921.06844
0,1500,1940.456174
0,1500,1962.654283
21,1500,1983.804014
0,1500,2004.120658
0,1500,2024.069695
166,1500,2042.660558
104,1500,2065.120628
0,1500,2091.647963
16,1500,2113.27321
0,1500,2134.223773
0,1435,2153.671376
0,1500,2181.369144
70,1500,2202.857309
15,1500,2223.789778
141,1397,2244.032426
0,1500,2272.438009
88,1500,2293.137745
0,1500,2313.363298
0,1429,2336.405702
0,1239,2356.175827
0,1500,2381.400569
108,1500,2402.029482
201,1348,2420.723605
314,1283,2440.092125
0,1500,2462.482072
0,1500,2485.686251
0,1393,2505.404701
0,1385,2525.926858
0,1406,2546.059571
0,1219,2563.128578
155,873,2578.854721
0,1062,2596.307502
211,1439,2618.409342
0,1030,2634.418423
75,1269,2654.464789
0,1276,2672.360084
0,1007,2689.606851
0,1001,2706.519799
40,943,2721.943212
0,1215,2741.797643
0,1143,2760.337999
186,1081,2778.23099
33,1301,2800.061736
0,1171,2817.943748
0,1386,2838.446397
0,1500,2860.007147
0,1264,2880.37651
32,1257,2899.515102
0,1333,2919.184658
0,1456,2940.158005
202,1500,2961.93119
3,1500,2983.621248
0,1500,3006.387747
201,1500,3027.929231
0,1232,3045.503025
356,1473,3066.299047
0,1500,3087.129857
0,1317,3105.714832
0,1488,3125.12326
0,1463,3145.029812
0,1147,3161.089005
0,1470,3182.437372
0,1419,3202.272828
0,1347,3221.239828
0,1500,3241.863091
0,1234,3259.297659
0,1137,3276.70498
0,1207,3294.866634
31,1357,3316.711905
0,1346,3335.805497
0,1411,3356.415605
0,1499,3376.530145
0,1373,3396.310417
0,1237,3414.450955
0,1127,3431.101556
0,1224,3448.438456
0,1107,3463.812576
0,1145,3481.813929
0,1178,3498.977133
0,1028,3514.469552
0,961,3528.975443
0,1003,3544.140533
0,1092,3559.671361
0,1192,3576.209464
0,1275,3595.183237
0,1311,3614.783384
155,1394,3634.874174
0,1500,3655.432486
0,1500,3676.458291
0,1500,3697.152756
0,1500,3717.779548
0,1500,3738.62675
172,1500,3759.986561
20,1500,3781.252486
0,1500,3802.21661
0,1500,3823.316864
0,1500,3844.490559
0,1500,3866.547155
97,1500,3888.276048
0,1500,3909.460182
0,1500,3930.731411
96,1500,3953.93326
3,1500,3974.761098
0,1500,3995.702872
0,1500,4018.10493
0,1500,4038.721578
0,1500,4059.504226
0,1500,4079.146682
0,1500,4100.179521
0,1500,4120.368088
54,1500,4140.133438
21,1500,4159.82369
101,1500,4180.82874
21,1500,4201.840605
0,1500,4222.857988
0,1500,4243.963295
0,1500,4265.803937
0,1500,4287.598258
84,1500,4309.813632
0,1500,4330.706334
163,1500,4351.631513
4,1500,4371.434879
0,1500,4391.857551
0,1500,4412.608347
0,1500,4433.685346
0,1500,4454.418176
16,1500,4475.53057
0,1500,4497.648104
0,1500,4520.242192
0,1500,4541.789439
0,1500,4563.304104
0,1500,4585.191846
0,1500,4607.223702
0,1500,4628.559986
0,1500,4649.440076
0,1500,4668.870627
0,1500,4690.117488
0,1500,4711.305465
0,1500,4732.641837
169,1500,4755.370496
0,1500,4775.922941
0,1500,4800.064867
0,1500,4823.671885
31,1500,4847.590329
0,1500,4869.469084
0,1500,4894.046143
0,1500,4917.851361
110,1500,4941.117891
0,1500,4962.163054
83,1500,4981.763122
8,1500,5001.878688
0,1500,5023.398137
0,1500,5044.00862
0,1500,5064.802204
