total_timesteps,eplenmean,eprewmean,serial_timesteps,time_elapsed,value_loss,nupdates,approxkl,fps,clipfrac,explained_variance,policy_loss,policy_entropy
4096,nan,nan,512,6.659750938415527,0.173975,1,0.00622869,615,0.057763673,0.45242631435394287,-0.00062527723,1.5865066
8192,nan,nan,1024,12.259923458099365,0.0656252,2,0.011235982,742,0.13850097,0.6657745540142059,-0.00660548,1.5920953
12288,1500.0,1.5,1536,19.449793577194214,0.23788698,3,0.0075258776,569,0.08486328,0.21546202898025513,-0.002141539,1.5904841
16384,1500.0,1.5,2048,25.51819133758545,0.01160024,4,0.010466318,675,0.12045898,0.6776163876056671,-0.004906474,1.5894191
20480,1500.0,1.5,2560,31.288373470306396,0.5246839,5,0.009397403,710,0.09008789,0.18221420049667358,-0.0022004792,1.5538386
24576,1500.0,8.8125,3072,38.57324147224426,1.0321196,6,0.0065393755,562,0.07404785,0.07965916395187378,-0.0017517039,1.5367067
28672,1500.0,8.8125,3584,43.7751579284668,0.019297894,7,0.0060513085,787,0.049560547,0.688550740480423,-0.0014504495,1.5783474
32768,1500.0,8.8125,4096,49.30002522468567,0.018273473,8,0.0057457793,741,0.032421876,0.32168126106262207,-0.0005263257,1.5139965
36864,1500.0,5.875,4608,56.162968158721924,0.07696798,9,0.023938578,596,0.17619629,0.700979471206665,-0.008957596,1.47446
40960,1500.0,5.875,5120,61.55422377586365,0.005762787,10,0.009932069,759,0.08742676,0.8277472406625748,-0.0037092003,1.5432398
45056,1500.0,5.875,5632,67.06785893440247,0.0109049175,11,0.0074257865,742,0.07453613,0.8901199176907539,-0.0044485233,1.468881
49152,1500.0,4.40625,6144,74.5799651145935,0.101993226,12,0.009018863,545,0.10969238,0.7724835276603699,-0.0022437593,1.4564097
53248,1500.0,4.40625,6656,80.72637057304382,0.002722912,13,0.009942973,666,0.10144043,0.8389933556318283,-0.0031005025,1.5241174
57344,1500.0,4.40625,7168,86.32690596580505,0.0137686115,14,0.006123159,731,0.045776367,0.9036543592810631,-0.0030539688,1.4836599
61440,1500.0,3.525,7680,93.39198517799377,0.07220455,15,0.013136962,579,0.1317627,0.8244466036558151,-0.0016013244,1.4888047
65536,1500.0,3.525,8192,98.62926197052002,0.0013642453,16,0.011706493,782,0.15024415,0.7196351289749146,-0.006222767,1.4718647
69632,1500.0,3.525,8704,103.79864287376404,0.0015770032,17,0.010994931,792,0.089819334,0.6394981443881989,-0.007168801,1.4691086
73728,1500.0,2.9375,9216,110.95889377593994,0.0030383144,18,0.007476377,572,0.06086426,0.30435705184936523,-0.00585693,1.4877822
77824,1500.0,2.9375,9728,116.36434769630432,0.0011807093,19,0.008258784,757,0.05673828,0.14263778924942017,-0.0049006725,1.4942982
