fps,eprewmean,total_timesteps,serial_timesteps,policy_loss,approxkl,explained_variance,value_loss,clipfrac,eplenmean,policy_entropy,time_elapsed,nupdates
719,2.75,16384,2048,5.7039528e-05,0.0030389654,0.04395616054534912,0.05154522,0.0026306151,1500.0,1.6065943,22.758837699890137,1
794,3.75,32768,4096,-0.0013394281,0.008090826,0.07568877935409546,0.08303566,0.039111327,1500.0,1.6048393,43.44632840156555,2
762,1.90625,49152,6144,-0.0019180216,0.0069256434,0.7289480566978455,0.0034688567,0.020635987,1500.0,1.6041372,64.93579363822937,3
812,1.525,65536,8192,-0.001577449,0.004112939,0.8167940825223923,0.0016634029,0.012713623,1500.0,1.5935838,85.09545254707336,4
810,1.2708333333333333,81920,10240,-0.0044763493,0.007143351,0.87160325050354,0.0007172334,0.07609253,1500.0,1.590001,105.30124592781067,5
731,0.953125,98304,12288,-0.002697328,0.008851492,0.3720749020576477,0.0012361886,0.06419678,1500.0,1.5742126,127.68675661087036,6
818,0.8472222222222222,114688,14336,-0.0015532922,0.0050691357,0.7767233401536942,0.00050325773,0.044311523,1500.0,1.5711353,147.7141478061676,7
781,2.0625,131072,16384,-0.0013579695,0.0068292385,0.012335658073425293,0.36807936,0.032281496,1500.0,1.543788,168.67667198181152,8
732,2.1041666666666665,147456,18432,-0.0017371762,0.005840071,0.7073256075382233,0.0023050527,0.032177735,1500.0,1.5210737,191.05089497566223,9
821,2.0673076923076925,163840,20480,-0.0011764604,0.0052824784,0.05199575424194336,0.20847785,0.026641846,1500.0,1.4807843,210.9845485687256,10
758,6.3,180224,22528,-0.0014828021,0.0036378063,0.19614946842193604,1.5043331,0.03539429,1500.0,1.5067775,232.5730369091034,11
820,11.0703125,196608,24576,7.639959e-05,0.0056476537,0.07820481061935425,2.0713904,0.02588501,1500.0,1.5136068,252.55243134498596,12
777,10.698529411764707,212992,26624,-0.000108813496,0.004454583,0.18650388717651367,0.09751489,0.028741455,1500.0,1.5269936,273.6375586986542,13
775,9.605263157894736,229376,28672,-0.0012847843,0.0044949804,0.48069411516189575,0.0051509165,0.026300048,1500.0,1.5346649,294.7560291290283,14
800,9.125,245760,30720,-0.0031642583,0.0058869617,0.7260665595531464,0.0008099068,0.047949217,1500.0,1.5298867,315.21215748786926,15
818,8.869047619047619,262144,32768,-0.0032580935,0.0071220235,0.10897195339202881,0.084948614,0.09749146,1500.0,1.5624201,335.23542499542236,16
746,8.423913043478262,278528,34816,-0.0006685356,0.0036181551,0.19152730703353882,0.0933087,0.037042238,1500.0,1.5591948,357.17795634269714,17
841,8.911458333333334,294912,36864,-0.0010937331,0.004376754,0.13907063007354736,0.30602378,0.051818848,1500.0,1.5550963,376.66085481643677,18
818,13.15,311296,38912,-0.0028859992,0.008529967,0.10782128572463989,4.922668,0.06798706,1500.0,1.5259587,396.6892809867859,19
778,17.75925925925926,327680,40960,-0.0013789709,0.006211031,0.12198466062545776,1.6075315,0.04636841,1500.0,1.5488423,417.7351336479187,20
807,20.5625,344064,43008,-0.0008608202,0.002608362,0.1622936725616455,2.9094634,0.022766113,1500.0,1.539129,438.0321819782257,21
741,24.954166666666666,360448,45056,-0.0006293415,0.0033349663,0.20456117391586304,4.593828,0.014630127,1500.0,1.5413045,460.1173176765442,22
777,24.149193548387096,376832,47104,-0.0021996615,0.0059262426,0.030511856079101562,0.0051795356,0.048571777,1500.0,1.556162,481.1998944282532,23
808,24.5546875,393216,49152,-0.0013506964,0.005035849,0.1987125277519226,1.0308923,0.02756958,1500.0,1.5405464,501.4730432033539,24
