nupdates,fps,eprewmean,time_elapsed,explained_variance,policy_loss,approxkl,policy_entropy,total_timesteps,clipfrac,serial_timesteps,eplenmean,value_loss
1,16,nan,121.80724501609802,-0.05847322940826416,6.355811e-06,0.00019315102,1.5928221,2048,0.0,512,nan,0.19210476
2,255,8.75,130.70287609100342,-0.22724425792694092,-0.0006328417,2.5586594e-05,1.5908474,4096,0.0,1024,540.25,0.015083838
3,300,8.75,137.52426385879517,0.0472145676612854,0.00039687773,0.0016590749,1.5932865,6144,0.0,1536,540.25,0.0042704707
4,264,6.142857142857143,145.27577686309814,0.020294666290283203,-0.00020464712,4.1196618e-05,1.59445,8192,0.0,2048,951.5714285714286,0.003742065
5,292,5.5,152.2806692123413,0.0023282766342163086,-0.00014354633,0.00018299173,1.5927925,10240,0.0,2560,1020.125,0.20062321
6,302,5.5,159.05527758598328,0.000605165958404541,-0.0011319425,0.00077140465,1.5954179,12288,0.0,3072,1020.125,0.09707723
7,246,6.833333333333333,167.36669826507568,-0.03417158126831055,-4.500554e-05,4.9035192e-05,1.5910214,14336,0.0,3584,1180.0833333333333,0.050154433
8,287,6.833333333333333,174.49862027168274,-0.06798791885375977,-0.00021859568,4.6453428e-05,1.5920571,16384,0.0,4096,1180.0833333333333,0.022685708
9,270,6.833333333333333,182.0681438446045,-0.06859970092773438,-0.00040058498,0.00014703248,1.5939146,18432,0.0,4608,1180.0833333333333,0.01977242
10,225,5.875,191.16626453399658,-0.32772374153137207,-7.8591205e-05,0.0014673104,1.5952579,20480,0.0026041667,5120,1260.0625,0.0020865104
11,265,5.875,198.8734302520752,0.02914327383041382,0.00012311472,3.474104e-05,1.5955411,22528,0.0,5632,1260.0625,0.25693735
12,264,5.875,206.62528157234192,0.00881892442703247,-0.00087478786,0.00079117395,1.5980115,24576,0.0,6144,1260.0625,0.038121223
13,206,6.85,216.5357038974762,0.0510714054107666,-0.00057484314,0.000107605876,1.5946503,26624,0.0,6656,1308.05,0.004762679
14,188,6.85,227.38793778419495,0.09934693574905396,-0.00018500413,4.633225e-05,1.5945487,28672,0.0,7168,1308.05,0.0015094801
15,109,6.85,246.04551124572754,0.10680270195007324,-0.00021118268,0.00043403576,1.5993651,30720,0.006184896,7680,1308.05,0.0030901746
16,192,6.125,256.6859760284424,0.03875601291656494,-0.0002248111,4.6673293e-05,1.5994908,32768,0.0,8192,1340.0416666666667,0.028916195
17,264,6.125,264.44297337532043,-0.03483617305755615,-8.545164e-05,6.931501e-05,1.595034,34816,0.0,8704,1340.0416666666667,0.092915796
18,260,6.125,272.301460981369,0.15680021047592163,-0.00042465705,0.00010966158,1.5947832,36864,0.0,9216,1340.0416666666667,0.0017368384
19,225,5.821428571428571,281.38566970825195,0.09308445453643799,-0.0003780364,0.00013241303,1.5957345,38912,0.0,9728,1362.892857142857,0.0033743074
20,257,5.821428571428571,289.33941292762756,0.0459102988243103,0.00040857246,0.0002179426,1.5996257,40960,0.0,10240,1362.892857142857,0.0009042621
21,261,5.821428571428571,297.18184876441956,0.09647107124328613,-0.00031767087,0.00012572904,1.6012864,43008,0.0,10752,1362.892857142857,0.0006610074
22,223,5.125,306.34774518013,0.015010297298431396,-0.0001651075,3.1595682e-05,1.5992599,45056,0.0,11264,1380.03125,0.09618399
23,112,5.125,324.62480068206787,-0.012933492660522461,-3.2277156e-05,5.992022e-05,1.5984837,47104,0.0,11776,1380.03125,0.09189505
24,203,5.472222222222222,334.70543456077576,-0.012385010719299316,-0.0001936544,0.00011716017,1.5971209,49152,0.0,12288,1309.6944444444443,0.16140737
25,239,5.472222222222222,343.2477242946625,-0.031411170959472656,-0.0001666119,0.00020546473,1.5974178,51200,0.0,12800,1309.6944444444443,0.011225046
