#{"t_start": 1534089715.4732673, "env_id": "SetDown-v3"}
r,l,t
13,535,310.7244
3,1500,327.803251
1,1500,349.345323
3,1500,372.835209
16,1500,397.253791
2,1500,437.489878
2,1500,462.305932
0,1500,486.880301
20,756,513.498509
5,1500,534.556199
3,1500,559.079268
0,583,584.968172
0,1500,609.605108
0,1500,634.127857
7,1500,665.500518
0,98,678.241503
1,1500,698.630078
0,1500,723.901546
73,1500,749.150874
0,1500,773.722142
0,1500,798.061568
0,1500,823.699803
1,1500,849.592724
115,1500,874.552292
13,1500,899.77746
0,1500,925.812019
21,1500,951.102906
0,1500,976.399762
0,1500,1002.254801
0,1500,1025.178798
9,1500,1041.948718
5,1500,1062.985795
8,1500,1084.813413
8,1500,1107.028039
0,1500,1128.145909
1,1500,1149.077583
0,1500,1169.904531
1,1500,1190.561605
4,1500,1211.720104
23,1500,1232.665355
0,1500,1254.704551
0,1500,1276.079322
25,1500,1297.247254
19,1500,1318.476528
10,1500,1335.245977
0,1500,1356.536202
8,1500,1377.765139
38,1500,1399.164378
0,1500,1420.296154
0,1500,1441.620719
76,1500,1463.115865
0,1500,1484.112247
95,1500,1505.126029
2,1500,1526.396154
0,1500,1546.940627
126,1500,1568.51837
7,1500,1589.786805
0,1500,1611.031518
0,1500,1628.835178
0,1500,1649.934828
34,1500,1670.973178
54,1500,1691.65755
0,1500,1712.790284
20,1500,1734.171997
0,1500,1755.436421
0,1500,1776.839174
204,1500,1798.740207
2,1500,1819.754823
73,1500,1841.143351
78,1500,1862.121512
137,1500,1883.35499
0,1500,1904.457435
83,1500,1921.420005
0,1500,1943.11106
35,1500,1964.351955
125,1500,1985.165087
63,1500,2006.208985
37,1500,2027.712269
306,1500,2049.336494
132,1500,2071.113486
1,1500,2092.723391
0,1500,2115.638126
0,1500,2138.241165
0,1500,2159.665453
87,1500,2180.526132
75,1500,2201.982697
130,1500,2222.658151
1,1500,2239.580935
183,1500,2260.583359
0,1500,2281.85541
0,1500,2302.654821
324,1500,2322.989072
0,1500,2344.008722
42,1500,2365.043648
86,1500,2386.210934
429,1500,2407.707369
0,1500,2428.940138
1,1500,2450.546731
35,1500,2471.544768
9,1500,2493.537895
0,1500,2515.396439
0,1500,2532.095794
0,1500,2553.604695
0,1500,2574.796866
190,1500,2595.866649
0,1500,2617.080961
6,1500,2645.726866
0,1500,2666.643416
45,750,2679.670242
51,1500,2696.382567
