fps,eplenmean,value_loss,nupdates,time_elapsed,clipfrac,policy_entropy,policy_loss,total_timesteps,explained_variance,serial_timesteps,eprewmean,approxkl
503,nan,0.00010536805,1,4.070346832275391,0.025,1.0945339,-0.0026136122,2048,-3.41062593460083,256,nan,0.004174477
690,nan,5.300182e-05,2,7.065008640289307,0.0,1.0794804,-0.001038534,4096,0.3638705015182495,512,nan,0.0023902557
730,nan,2.8657014e-05,3,9.869557619094849,0.05341797,1.0200013,-0.005791967,6144,0.628749430179596,768,nan,0.01026027
692,nan,1.9358964e-05,4,12.827961921691895,0.03857422,0.9423584,-0.0054929475,8192,0.7123686373233795,1024,nan,0.008029932
807,nan,7.683483e-06,5,15.36568832397461,0.042871095,0.9233758,-0.002884972,10240,0.7793919444084167,1280,nan,0.00312971
777,nan,7.288663e-06,6,17.998741149902344,0.036035158,0.98807013,-0.0027089703,12288,0.8877289444208145,1536,nan,0.007449165
753,nan,3.131936e-05,7,20.71778964996338,0.119824216,1.0572004,-0.0075774537,14336,0.8856421485543251,1792,nan,0.010568967
489,2000.0,0.0002338471,8,24.90625262260437,0.0014648438,1.0521624,-0.0009225247,16384,-0.34771430492401123,2048,0.0,0.0015829798
743,2000.0,1.1556682e-05,9,27.659826040267944,0.013867187,0.9636108,-0.002314308,18432,0.4412965178489685,2304,0.0,0.0048785694
782,2000.0,6.4147994e-06,10,30.27851152420044,0.002783203,0.89965296,-0.0023879209,20480,0.7872124314308167,2560,0.0,0.0049778833
691,2000.0,4.109748e-06,11,33.23895335197449,0.0,0.87233937,-0.0007097662,22528,0.7495162785053253,2816,0.0,0.0014867721
763,2000.0,6.5368376e-06,12,35.92174243927002,0.1864746,0.9703433,-0.007394906,24576,0.9519602544605732,3072,0.0,0.011156203
791,2000.0,1.383537e-05,13,38.50890231132507,0.074804686,1.0348183,-0.005302715,26624,0.622510552406311,3328,0.0,0.011688029
734,2000.0,2.0005358e-05,14,41.296188831329346,0.07646485,1.0712168,-0.007548315,28672,0.06568014621734619,3584,0.0,0.012736557
749,2000.0,6.4669816e-06,15,44.02928018569946,0.0,1.0720406,-2.1022675e-05,30720,-0.8087149858474731,3840,0.0,0.0002367968
464,2000.0,3.196215e-05,16,48.4349467754364,0.0375,1.0416892,-0.0037033889,32768,0.43780165910720825,4096,0.0,0.0045562107
666,2000.0,2.1229155e-06,17,51.50704336166382,0.14697266,0.9361156,-0.014173241,34816,0.669777125120163,4352,0.0,0.015519781
723,2000.0,2.0482769e-06,18,54.337377071380615,0.01875,0.94223195,-0.002708609,36864,0.8754037022590637,4608,0.0,0.0021767872
754,2000.0,3.2833389e-06,19,57.053229331970215,0.01171875,0.95983666,-0.0025002582,38912,0.8572987616062164,4864,0.0,0.003961076
740,2000.0,2.2948698e-06,20,59.81889891624451,0.06342773,0.9598902,-0.004387617,40960,0.7611077427864075,5120,0.0,0.011164991
717,2000.0,2.5518502e-06,21,62.67190885543823,0.14199218,0.9525409,-0.008623196,43008,0.8702619820833206,5376,0.0,0.008899697
757,2000.0,1.8919602e-06,22,65.37466955184937,0.14414063,0.94313765,-0.015464373,45056,0.886947825551033,5632,0.0,0.008015943
721,2000.0,1.0169895e-06,23,68.21292400360107,0.11552735,0.93472224,-0.010700914,47104,0.8964821770787239,5888,0.0,0.006488302
461,2000.0,3.0436609e-06,24,72.64846849441528,0.044189453,0.99080306,-0.0036602218,49152,0.4888295531272888,6144,0.0,0.00450186
735,2000.0,1.9126055e-06,25,75.43473076820374,0.1065918,1.0303593,-0.0043704463,51200,0.25462937355041504,6400,0.0,0.00661132
665,2000.0,7.200776e-07,26,78.51457691192627,0.058789063,1.0169085,-0.0034071081,53248,0.5547750890254974,6656,0.0,0.00752609
718,2000.0,3.201922e-07,27,81.36362290382385,0.1644043,0.9985997,-0.009742109,55296,0.7520308345556259,6912,0.0,0.01067274
777,2000.0,9.234342e-06,28,83.99650239944458,0.013867187,1.0135187,-0.0031105992,57344,-0.5900892019271851,7168,0.0,0.00818445
734,2000.0,9.708239e-07,29,86.78397011756897,0.1144043,1.0024865,-0.0074276635,59392,0.8286278247833252,7424,0.0,0.009206811
687,2000.0,1.3795187e-06,30,89.76198887825012,0.15917969,0.9939499,-0.012124435,61440,0.6427190601825714,7680,0.0,0.008338869
799,2000.0,1.4431016e-06,31,92.32253670692444,0.13486329,0.98209685,-0.009860444,63488,0.7360202670097351,7936,0.0,0.0075869174
477,2000.0,1.681848e-06,32,96.61036801338196,0.06635742,1.0198205,-0.004962054,65536,0.871986985206604,8192,0.0,0.005933724
748,2000.0,1.4336176e-05,33,99.34864664077759,0.13710937,1.0013378,-0.008072861,67584,0.446455717086792,8448,0.0,0.0097721815
676,2000.0,1.45467475e-05,34,102.37606906890869,0.14023438,1.0025623,-0.008106461,69632,0.7680321335792542,8704,0.0,0.012353776
771,2000.0,1.9160423e-07,35,105.03266096115112,0.0145019535,1.0052483,-0.0017783856,71680,0.8078500330448151,8960,0.0,0.0039942274
728,2000.0,7.308666e-08,36,107.84498262405396,0.11347656,1.0057042,-0.006054,73728,0.7028643786907196,9216,0.0,0.011049558
721,2000.0,1.5922095e-07,37,110.68516850471497,0.16948242,1.0860322,-0.009192463,75776,0.5542399883270264,9472,0.0,0.012679646
730,2000.0,9.952262e-07,38,113.49043869972229,0.12246094,1.0747129,-0.007865358,77824,0.5253237187862396,9728,0.0,0.00933318
773,2000.0,7.734564e-06,39,116.14000654220581,0.056884766,1.0764866,-0.004520458,79872,-1.0484161376953125,9984,0.0,0.0080892835
476,2000.0,5.234539e-07,40,120.44143629074097,0.0234375,1.0097609,-0.0031946995,81920,0.002548396587371826,10240,0.0,0.0036467921
