#{"env_id": "SetDown-v3", "t_start": 1534350539.452086}
r,l,t
0,2000,26.131904
0,2000,49.130973
0,2000,72.932575
0,2000,96.68637
0,2000,120.048485
0,2000,142.54489
0,2000,164.772395
0,2000,188.657142
0,2000,211.300192
0,2000,234.258251
0,831,246.505341
7.763522,605,254.629584
7.500699,388,262.012324
8.281506,443,269.203468
9.387227,416,277.275073
12.584212,553,287.039899
8.470193,419,294.99619
15.145675,344,302.196852
0,269,308.829341
10.50535,521,318.264837
0,521,327.505132
7.567459,435,335.582989
9.993132,333,342.712559
0,357,357.02588
16.750061,483,365.376121
13.55167,327,372.124763
0,258,378.506958
9.507138,290,384.973808
9.579256,310,391.61846
0,390,401.410017
0,320,407.449521
0,267,413.174112
0,254,419.691043
0,437,426.514755
0,316,438.637373
8.64923,415,445.233207
0,315,450.599386
0,224,454.973577
0,431,462.157348
0,220,466.289754
0,311,472.419184
0,255,477.250956
7.403872,459,483.9726
0,441,491.35336
7.488528,402,498.443523
7.562281,229,502.592994
10.745405,229,507.159982
0,430,516.68775
0,352,527.309007
10.710641,392,533.150914
0,396,541.120022
0,402,546.66018
0,248,552.002028
0,443,559.750857
0,441,567.316921
0,251,571.017948
8.465411,441,579.212509
0,419,585.584618
0,273,590.343922
0,304,596.499986
0,236,603.32728
0,398,615.696398
0,350,622.4486
0,284,627.099023
0,361,633.697306
0,248,638.465933
13.984065,349,644.908869
14.297121,324,650.561563
26.625723,435,657.128782
0,339,662.256909
0,330,668.243378
8.503125,290,674.760636
0,494,682.232152
0,463,695.885392
0,260,701.81865
8.343126,282,706.504606
0,394,712.404726
0,248,718.969505
0,291,726.00395
0,248,730.559361
0,457,739.223975
8.675463,350,745.541811
0,397,752.539356
0,246,757.377952
0,284,761.898391
0,340,773.141673
0,459,784.353301
0,391,793.426074
0,284,799.121303
6.654414,329,805.681359
6.704858,481,815.640933
14.518791,293,821.871002
0,352,828.78852
0,236,835.180552
0,237,840.994259
0,372,846.136533
0,258,852.58094
0,455,863.036124
8.198009,423,875.953573
8.560647,475,883.475649
0,239,888.223799
10.922242,426,896.905995
0,378,902.891965
0,351,909.851704
0,432,916.501414
0,406,924.014668
0,370,931.082953
0,457,939.840202
0,197,946.643229
0,255,958.909038
0,404,966.003508
9.460851,362,973.80021
0,391,981.892883
6.234242,240,988.837889
12.003732,428,997.256141
38.797883,378,1004.623991
11.381853,328,1010.502369
0,193,1016.046872
0,349,1021.765039
0,224,1025.817448
8.045034,355,1036.062008
0,445,1047.791109
8.622805,426,1054.347312
0,261,1061.550161
7.048466,393,1069.222916
9.432538,288,1075.755522
0,253,1082.338654
0,375,1089.377491
16.972993,431,1097.173767
6.810439,442,1105.368922
0,382,1115.711926
18.372856,475,1129.6661
8.094873,377,1137.20775
7.250142,319,1143.940361
0,254,1150.176819
0,444,1158.874252
0,512,1167.439563
11.617674,317,1174.565317
0,424,1181.243815
31.978244,510,1190.17871
0,184,1199.003205
0,337,1208.073228
0,427,1214.262964
6.898898,275,1219.768337
0,328,1228.028054
0,277,1234.447674
0,423,1241.585314
0,217,1247.023615
6.770661,280,1255.295425
0,82,1263.939523
13.678002,414,1275.356618
0,217,1279.703968
0,356,1287.489123
0,434,1295.986209
10.088387,509,1304.24945
0,358,1310.468446
8.867014,387,1318.63035
9.494776,287,1324.653051
0,333,1331.85373
0,305,1338.485487
0,255,1345.626109
0,589,1358.816925
9.106211,621,1368.367265
8.051633,528,1377.343732
6.397666,407,1385.69326
0,415,1394.057755
6.807648,487,1403.624134
14.873433,474,1412.155777
0,435,1426.630213
0,379,1435.271778
45.091561,273,1441.092082
0,327,1447.964033
0,390,1456.786964
0,437,1465.673654
0,249,1470.730175
19.076015,314,1477.834714
7.562538,265,1483.976582
7.78252,422,1494.251006
12.073151,362,1507.768589
0,237,1513.194434
0,304,1520.204026
0,387,1528.661493
0,303,1534.559736
8.659166,303,1540.422808
34.349429,427,1550.232108
0,430,1558.996883
9.566335,245,1563.69713
0,392,1572.683174
0,308,1586.394889
0,299,1593.309858
6.619985,242,1599.074652
0,436,1607.954136
0,339,1615.093947
14.386246,295,1620.213783
0,246,1625.096401
0,440,1633.643105
0,348,1640.789612
0,213,1646.609667
0,586,1662.688684
0,289,1667.249155
9.55122,370,1673.301487
8.0215,496,1683.690015
0,414,1692.212248
8.404403,303,1697.439229
0,321,1704.296028
22.501194,294,1714.708688
11.842542,404,1724.414694
