#{"env_id": "SetDown-v3", "t_start": 1532115461.5990052}
r,l,t
0,1501,4.476015
0,1501,8.992253
0,1501,13.369979
0,1501,16.983244
0,1501,21.487893
0,1501,25.836235
0,1501,30.189813
0,1501,33.723781
0,1501,38.187331
0,1501,42.597464
0,1501,47.056769
0,1501,50.672481
0,1501,55.02727
0,1501,59.464766
0,1501,63.110668
0,1501,67.621803
0,1501,72.054834
0,1501,76.512088
0,1501,80.049757
0,1501,84.385412
0,1501,88.869715
0,1501,93.24859
0,1501,96.811069
0,1501,101.277892
0,1501,105.726271
0,1501,110.153427
0,1501,113.707492
0,1501,118.160315
0,1501,122.606729
0,1501,126.100841
0,1501,130.429855
0,1501,134.846241
0,1501,139.321993
0,1501,142.866539
0,1501,147.380156
0,1501,151.931663
0,1501,156.378331
0,1501,159.844238
0,1501,164.218343
0,1501,168.69325
0,1501,173.056137
0,1501,176.600767
0,1501,181.024978
0,1501,185.469185
0,1501,188.998954
0,1501,193.511284
0,1501,198.336278
0,1501,203.119105
0,1501,207.004342
0,1501,211.611781
0,1501,216.898187
0,1501,221.220168
0,1501,224.805905
0,1501,229.142519
0,1501,233.50433
0,1501,237.880783
0,1501,241.502354
0,1501,245.89662
0,1501,250.302194
0,1501,253.840234
0,1501,258.264038
0,1501,262.689062
0,1501,267.045301
0,1501,270.556386
0,1501,274.940407
0,1501,279.350397
0,1501,283.752648
0,1501,287.243109
0,1501,291.644062
0,1501,296.103828
0,1501,300.475565
0,1501,304.031034
0,1501,308.5436
0,1501,313.001543
0,1501,316.582634
0,1501,320.985638
0,1501,325.443058
0,1501,329.856852
0,1501,333.507707
0,1501,337.88525
0,1501,342.388772
0,1501,346.842075
0,1501,350.345065
0,1501,354.805215
0,1501,359.188406
0,1501,363.591353
0,1501,367.25446
0,1501,371.752183
0,1501,376.17311
0,1501,379.700294
0,1501,384.110545
0,1501,388.657601
0,1501,393.188912
0,1501,396.711262
0,1501,401.074053
0,1501,405.478989
0,1501,409.840923
0,1501,413.43555
0,1501,417.820629
0,1501,422.205605
0,1501,426.622565
0,1501,430.228363
0,1501,434.626079
0,1501,439.142167
0,1501,442.689788
0,1501,447.033596
0,1501,451.451777
0,1501,455.965706
0,1501,459.486568
0,1501,463.908707
0,1501,468.331615
0,1501,472.994832
0,1501,476.545631
0,1501,480.911738
0,1501,485.499964
0,1501,489.890546
0,1501,493.404542
0,1501,497.877045
0,1501,502.286765
0,1501,505.796743
0,1501,510.141597
0,1501,514.525086
0,1501,519.131629
0,1501,522.868457
0,1501,527.187479
0,1501,531.51823
0,1501,535.821039
0,1501,539.423095
0,1501,543.774681
0,1501,548.214217
0,1501,552.545198
0,1501,556.015131
0,1501,560.3913
0,1501,564.79922
0,1501,568.312555
0,1501,572.718225
0,1501,577.048419
0,1501,581.432209
0,1501,584.92505
0,1501,589.276915
0,1501,593.692346
0,1501,597.958945
0,1501,601.454441
0,1501,605.835107
0,1501,610.222102
0,1501,614.761027
0,1501,618.237461
0,1501,622.520694
0,1501,626.870493
0,1501,630.305617
21,1468,634.550122
0,1501,639.029222
0,1501,643.421813
0,1501,646.919292
46,1501,651.334569
17,1388,655.464221
73,1463,658.983819
17,951,662.180694
0,1380,666.256896
0,1501,669.876877
0,1501,674.436813
0,1501,678.840682
0,1501,683.384083
0,1501,686.839149
12,1186,690.520153
0,1301,693.592276
0,1501,697.968901
0,1501,702.573952
0,1501,706.915685
11,1035,709.454953
12,940,712.626864
14,689,714.376808
10,862,716.498505
0,1032,719.903429
0,771,721.894828
0,1492,726.252139
0,697,728.050243
0,1342,732.006012
3,735,733.873234
0,601,736.33527
0,709,738.1471
0,1501,742.528741
0,1501,746.060093
0,1243,749.918838
11,693,751.716511
0,546,754.050055
7,538,755.513696
9,593,757.110794
0,649,759.72068
0,525,761.153443
0,964,763.59489
3,691,766.203079
11,547,767.670624
0,961,770.028282
13,587,772.44625
8,502,773.845764
0,968,776.223767
10,589,778.650389
0,857,780.796473
0,468,782.229862
0,967,785.448403
0,1047,787.977553
0,515,790.229925
0,972,792.703172
6,503,794.097329
0,1501,798.411255
5,460,799.703298
10,499,801.11992
0,1501,805.479574
0,454,806.76543
7,501,809.017546
0,1059,811.616745
0,1359,815.641113
0,505,817.040994
4,505,818.463142
0,442,820.558084
0,440,821.863916
5,511,823.387019
1,513,824.949866
0,420,826.288454
0,973,829.779679
0,453,831.182778
0,423,832.565877
0,953,835.880569
10,599,837.466449
0,931,840.785359
13,673,842.532646
12,765,844.550342
10,654,847.095744
1,595,848.6727
0,962,850.974163
0,954,854.142963
4,691,855.921743
0,772,858.773342
7,599,860.363593
0,869,862.47096
3,559,864.79579
11,507,866.244938
0,530,867.667112
3,584,869.224866
0,857,872.178668
0,1329,875.25527
7,504,877.486686
0,609,879.082195
0,1320,882.969423
1,601,884.539879
0,1501,888.806346
0,1501,892.268587
2,709,894.909181
0,1501,898.451352
0,1097,901.95242
0,1501,906.337933
0,1501,909.839589
0,814,912.734503
0,1501,916.968399
0,1501,920.413331
0,1501,924.744953
0,1501,929.063128
0,1086,931.64799
0,1501,936.001293
0,1501,940.43787
9,829,942.49253
0,1501,946.794297
0,1501,951.079226
0,1501,954.504778
0,1501,958.899833
1,852,961.859754
0,653,963.535583
0,1338,966.642011
0,952,969.756447
12,809,971.748722
0,1141,975.248907
0,1328,979.227701
0,1501,982.784173
12,757,985.522432
0,1422,988.964234
10,671,991.664342
0,564,993.175361
9,675,994.985014
0,653,997.470988
14,577,999.018241
0,493,1000.403578
0,803,1003.323958
0,781,1005.276524
0,967,1007.631969
0,778,1010.395601
0,686,1012.141693
0,685,1013.904178
0,780,1016.700988
0,778,1018.641376
0,695,1021.19462
0,696,1022.99308
0,678,1024.735353
4,663,1026.449624
0,499,1028.701134
12,579,1030.233286
0,595,1031.772219
0,693,1034.382811
0,483,1035.70937
0,883,1037.853577
0,692,1040.462544
0,889,1042.629951
0,472,1043.930126
0,528,1046.189154
7,587,1047.741432
0,610,1049.334977
0,598,1050.911012
0,464,1053.169703
7,495,1054.533076
0,443,1055.783712
0,505,1057.164827
0,599,1059.594654
0,607,1061.183876
0,702,1062.978027
0,514,1065.179474
0,567,1066.684041
0,513,1068.074167
0,599,1069.647357
0,706,1072.262168
0,505,1073.65183
0,517,1075.153669
0,601,1077.574199
0,613,1079.375319
0,514,1080.780163
0,429,1082.083349
0,512,1084.382776
0,511,1085.767077
0,612,1087.349621
