policy_entropy,nupdates,fps,approxkl,clipfrac,explained_variance,value_loss,time_elapsed,eprewmean,serial_timesteps,total_timesteps,policy_loss,eplenmean
1.5844812,1,344,0.009003757,0.1149414,0.08743226528167725,1.9863577,5.950363874435425,0.0,2048,2048,4.3963646e-05,1501.0
1.5765035,2,374,0.013525762,0.2125,0.023425757884979248,1.721811,11.430538177490234,0.0,4096,4096,-0.008435829,1501.0
1.5460241,3,338,0.01272991,0.19438477,0.3167077898979187,1.3974689,17.487902641296387,0.0,6144,6144,-0.00838818,1501.0
1.5042013,4,366,0.008655567,0.103125,0.6165318787097931,0.84085655,23.07735252380371,0.0,8192,8192,-0.0055180043,1501.0
1.5135291,5,371,0.0054792673,0.04560547,0.7126850187778473,0.6011525,28.59340238571167,0.0,10240,10240,-0.002357269,1501.0
1.4399922,6,348,0.009093661,0.1274414,0.7824329882860184,0.6403439,34.47725701332092,0.0,12288,12288,-0.0036654915,1501.0
1.3539487,7,361,0.0100591015,0.11904297,0.8547554612159729,0.39794093,40.15029573440552,0.0,14336,14336,-0.004241717,1501.0
1.3670937,8,364,0.012632054,0.15449218,0.8827836811542511,0.28808537,45.765920877456665,0.0,16384,16384,-0.009632168,1501.0
1.2265644,9,345,0.009759808,0.11074219,0.8325045853853226,0.2811808,51.69827365875244,0.0,18432,18432,-0.0054925024,1501.0
1.3020478,10,365,0.010979306,0.17226562,0.9028121456503868,0.14122057,57.30811429023743,0.0,20480,20480,-0.0040505663,1501.0
1.3184255,11,341,0.014524107,0.22236328,0.8169873654842377,0.13066927,63.31276893615723,0.0,22528,22528,-0.00903664,1501.0
1.0268738,12,360,0.014423231,0.16684571,0.9563601985573769,0.082256846,69.00060033798218,0.0,24576,24576,-0.0025356917,1501.0
1.1387212,13,362,0.02789617,0.19868164,0.9201915115118027,0.044405125,74.64654278755188,0.0,26624,26624,-0.012672852,1501.0
1.0584619,14,349,0.019395629,0.24003907,0.9350349605083466,0.03237412,80.50550866127014,0.0,28672,28672,-0.009090609,1501.0
0.99637973,15,372,0.014609212,0.19711915,0.8549742251634598,0.020271203,86.00396132469177,0.0,30720,30720,-0.0074049695,1501.0
1.1093138,16,360,0.008048372,0.10551758,0.8876625746488571,0.011333866,91.68274903297424,0.0,32768,32768,0.00010400471,1501.0
0.9514141,17,341,0.008719778,0.0815918,0.9402775950729847,0.005515367,97.6819519996643,0.0,34816,34816,-0.0037666108,1501.0
0.91591185,18,365,0.011879494,0.12773438,0.8991416916251183,0.004814429,103.29119968414307,0.0,36864,36864,-0.009893204,1501.0
1.0127016,19,365,0.008817944,0.12470703,0.9140180945396423,0.005422861,108.8881721496582,0.0,38912,38912,-0.0038602725,1501.0
0.7780674,20,345,0.009922301,0.085351564,0.9384291656315327,0.0035557642,114.81499218940735,0.0,40960,40960,-0.0024105902,1501.0
0.9293388,21,362,0.008900205,0.11972656,0.9214396551251411,0.0021983874,120.46570110321045,0.0,43008,43008,0.00087781704,1501.0
0.9495884,22,351,0.013603315,0.17875977,0.9026940912008286,0.0025143544,126.2930998802185,0.0,45056,45056,-0.013980168,1501.0
0.7832471,23,372,0.0071104495,0.08481445,0.9264189302921295,0.004536878,131.7917501926422,0.0,47104,47104,-0.0022487934,1501.0
0.9873627,24,363,0.0078825625,0.11401367,0.9149439111351967,0.0012012223,137.43107175827026,0.0,49152,49152,-0.0020734638,1501.0
0.88664305,25,340,0.0068040444,0.085351564,0.8803711533546448,0.002834343,143.45015215873718,0.0,51200,51200,-0.002765738,1501.0
0.7953181,26,354,0.006621804,0.09301758,0.8881429880857468,0.001311983,149.23515677452087,0.0,53248,53248,-0.0033625956,1501.0
1.0034361,27,366,0.009235046,0.10932617,0.9403717182576656,0.0028403243,154.8295443058014,0.0,55296,55296,-0.0032619047,1501.0
0.7506336,28,351,0.010202945,0.15844727,0.9011121615767479,0.0010714971,160.6566858291626,0.0,57344,57344,-0.007215055,1501.0
0.82322276,29,364,0.010085723,0.10800781,0.8890183344483376,0.00089598447,166.2710587978363,0.0,59392,59392,-0.008433377,1501.0
1.0193908,30,369,0.006971553,0.09838867,0.4196903109550476,0.0012379622,171.8186435699463,0.0,61440,61440,-0.005187304,1501.0
0.75137794,31,346,0.0063953027,0.08120117,0.5225338041782379,0.0012025987,177.73494338989258,0.0,63488,63488,-0.0012226466,1501.0
0.8617743,32,363,0.008742058,0.12202148,0.7757131457328796,0.002415454,183.37380027770996,0.0,65536,65536,-0.0026610414,1501.0
0.9036211,33,349,0.008909654,0.13452148,0.7223077416419983,0.0020154244,189.23356342315674,0.0,67584,67584,-0.004489123,1501.0
